#Network	Quality Score	P-value	Gene List
N025M00193	0.3247	0.124251	Svm5G0026890 Svm9G0022750 Svm5G0016130 Svm1G0018440 Svm9G0045530 Svm5G0054550 Svm3G0049760 Svm5G0017110 Svm5G0058830 Svm5G0028210 Svm1G0000490 Svm3G0006020 Svm3G0043840 Svm5G0039590 Svm5G0042680 Svm7G0025670 Svm2G0005020 Svm2G0027280 Svm3G0034900 Svm7G0013200 Svm6G0018840 Svm4G0031310 Svm9G0038470 Svm2G0047690 Svm4G0001070 Svm3G0014830 Svm9G0059080 Svm2G0030400 Svm9G0046300 Svm5G0056640 Svm4G0003790 Svm9G0008610 Svm4G0023010 Svm4G0003890 Svm5G0007650 Svm5G0031050 Svm2G0038760 Svm6G0027680 Svm1G0028750 Svm6G0026360 Svm2G0035870 Svm1G0032060 Svm6G0009430 Svm4G0028140 Svm4G0002990 Svm9G0066720 Svm2G0053020 Svm9G0002920 Svm9G0048690 Svm9G0068760 Svm4G0001490 Svm1G0041640 Svm2G0011280 Svm1G0011470 Svm1G0011480 Svm5G0017410 Svm3G0008250 Svm5G0045580 Svm1G0013700 Svm1G0017700 Svm9G0018810 Svm5G0058440 Svm6G0003270 Svm9G0069920 Svm5G0042770 Svm5G0029990 Svm9G0006570 Svm3G0025940 Svm6G0016710
N025M00194	0.2321	0.930564	Svm7G0031090 Svm6G0013910 Svm5G0046230 Svm5G0057970 Svm9G0027830 Svm2G0052030 Svm2G0031770 Svm3G0008110 Svm9G0039910 Svm9G0057840 Svm2G0032990 Svm1G0017920 Svm5G0037800 Svm3G0020650 Svm2G0018140 Svm3G0013230 Svm7G0018590 Svm2G0057180 Svm9G0021410 Svm2G0009380 Svm9G0067970 Svm3G0022470 Svm7G0009510 Svm3G0027670 Svm1G0011440 Svm4G0006690 Svm2G0029460 Svm9G0059850 Svm2G0033650 Svm6G0006850 Svm8G0034210 Svm9G0062040 Svm4G0002480 Svm5G0002200 Svm1G0029910
N025M00195	0.7555	0.00000	Svm2G0055360 Svm3G0001570 Svm3G0030070 Svm3G0039350 Svm4G0037120 Svm5G0029300 Svm1G0046060 Svm5G0036390 Svm6G0003040 Svm9G0062400 Svm5G0032270 Svm7G0031450 Svm5G0005610 Svm8G0023770 Svm6G0008790 Svm2G0053860 Svm8G0030930 Svm4G0030240 Svm8G0036130 Svm8G0036140 Svm1G0001950 Svm3G0027860 Svm2G0038180 Svm9G0029200 Svm5G0024670 Svm2G0038020 Svm3G0031930 Svm5G0050060 Svm9G0033530 Svm3G0008100 Svm7G0017830 Svm3G0010830 Svm5G0022120 Svm1G0008760 Svm7G0007240 Svm1G0004690 Svm7G0007310 Svm7G0007520 Svm9G0058700 Svm9G0047800 Svm5G0014120 Svm5G0031180 Svm2G0011270 Svm6G0019360 Svm9G0027900 Svm8G0035160 Svm4G0017780 Svm8G0009700 Svm6G0019670 Svm4G0025620 Svm5G0036940 Svm4G0006900 Svm2G0045040 Svm4G0005580 Svm4G0031590 Svm8G0022240 Svm7G0028270 Svm6G0012040 Svm5G0034720 Svm5G0012960 Svm2G0030320 Svm2G0038520 Svm6G0012080 Svm7G0001550
N025M00196	0.5148	0.00000	Svm6G0011150 Svm2G0036570 Svm2G0037880 Svm1G0037570 Svm9G0034220 Svm7G0014050 Svm3G0017990 Svm6G0023570 Svm5G0010950 Svm2G0016240 Svm5G0022070 Svm4G0018470 Svm2G0011770 Svm5G0057320 Svm3G0039660 Svm9G0024380 Svm2G0011780 Svm2G0047210 Svm9G0057760 Svm2G0048600 Svm2G0004330 Svm4G0029000 Svm2G0046010 Svm7G0017660 Svm9G0020560 Svm8G0012260 Svm3G0017390 Svm2G0047060 Svm9G0007880 Svm2G0034600 Svm9G0004840 Svm1G0032110 Svm1G0042720 Svm5G0043230 Svm4G0000180 Svm3G0022500 Svm2G0051020 Svm5G0004740 Svm9G0050940 Svm1G0013270 Svm3G0032860 Svm7G0036390 Svm4G0028370 Svm2G0056050 Svm1G0044610 Svm1G0012950 Svm4G0030540 Svm3G0021760 Svm7G0021120 Svm9G0046180 Svm6G0029100
N025M00197	0.7968	0.00000	Svm6G0007190 Svm6G0030810 Svm8G0028560 Svm9G0028390 Svm9G0004020 Svm6G0034030 Svm1G0012160 Svm1G0013380 Svm3G0006610 Svm3G0044990 Svm5G0041310 Svm7G0001790 Svm7G0013740 Svm8G0006550 Svm9G0049900 Svm5G0032260 Svm7G0035570 Svm5G0040220 Svm9G0057400 Svm4G0034020 Svm9G0025720 Svm7G0016670 Svm9G0035290 Svm8G0012990 Svm2G0010390 Svm3G0050850 Svm7G0001200 Svm3G0035090 Svm2G0046420 Svm9G0015190 Svm8G0020090 Svm2G0030700 Svm5G0034470 Svm4G0004460 Svm2G0046280 Svm5G0021360 Svm6G0026080 Svm1G0038400 Svm4G0002680 Svm4G0020600 Svm9G0038350 Svm3G0025250 Svm2G0046620 Svm2G0032120 Svm2G0032590 Svm9G0014550 Svm9G0002530 Svm5G0014820 Svm2G0044400 Svm8G0018290 Svm4G0015400 Svm6G0029390 Svm5G0013610 Svm5G0044870 Svm1G0021550 Svm9G0007600 Svm9G0059610 Svm2G0057110 Svm1G0045190 Svm9G0006770 Svm2G0041540 Svm7G0008860 Svm4G0023630 Svm7G0002040 Svm3G0009350 Svm7G0003980 Svm3G0018240 Svm6G0008710 Svm9G0027320 Svm9G0019060 Svm9G0007250 Svm7G0036190
N025M00198	0.2869	0.389116	Svm1G0048130 Svm8G0033900 Svm7G0028460 Svm9G0052560 Svm5G0046510 Svm9G0008730 Svm9G0068430 Svm4G0002310 Svm7G0032080 Svm3G0022890 Svm7G0033160 Svm7G0014080 Svm3G0039330 Svm6G0033570 Svm9G0015700 Svm7G0033760 Svm3G0028750 Svm2G0056320 Svm1G0032170 Svm9G0064750 Svm3G0021400 Svm4G0037720 Svm7G0025320 Svm3G0013510 Svm6G0002260 Svm3G0012650 Svm4G0017520 Svm4G0030460 Svm9G0023200 Svm9G0064840 Svm4G0015800 Svm9G0051430 Svm7G0029910 Svm5G0010330 Svm9G0027090 Svm7G0041500 Svm8G0003300 Svm7G0034650 Svm7G0031180 Svm5G0050830 Svm5G0018900 Svm7G0020320 Svm2G0036990 Svm7G0019060 Svm2G0037200 Svm3G0001640 Svm1G0044890 Svm9G0030600 Svm1G0008240 Svm3G0015350 Svm3G0028840 Svm2G0025710 Svm9G0040440 Svm8G0039190 Svm7G0022390 Svm3G0053550 Svm9G0001230 Svm6G0029200 Svm7G0023900 Svm4G0033310 Svm3G0028020
N025M00199	0.2742	0.405874	Svm9G0008630 Svm7G0038090 Svm5G0016680 Svm2G0036010 Svm4G0010580 Svm7G0026900 Svm6G0031640 Svm6G0019220 Svm6G0031660 Svm1G0030580 Svm9G0045930 Svm9G0021380 Svm3G0021070 Svm8G0006850 Svm7G0016950 Svm8G0038110 Svm2G0018240 Svm9G0020840 Svm9G0063970 Svm9G0011290 Svm7G0012990 Svm9G0032850 Svm2G0004060 Svm9G0002090 Svm2G0053240 Svm3G0015190 Svm9G0049330 Svm2G0050620 Svm3G0021480 Svm7G0032330 Svm8G0004450 Svm5G0046480 Svm4G0015220 Svm2G0029040 Svm2G0026650 Svm9G0001760 Svm8G0009740 Svm6G0031650 Svm3G0007030 Svm2G0016660 Svm6G0031630 Svm5G0040880 Svm6G0000190 Svm4G0035850 Svm5G0025990 Svm9G0063810
N025M00200	0.3586	0.0274931	Svm4G0023900 Svm5G0045940 Svm4G0005040 Svm3G0016760 Svm4G0002500 Svm5G0039200 Svm2G0020170 Svm9G0048920 Svm2G0046610 Svm9G0068920 Svm1G0036160 Svm1G0032820 Svm7G0026370 Svm9G0068730 Svm9G0014650 Svm1G0004290 Svm3G0033050 Svm6G0014430 Svm3G0021110 Svm3G0016400 Svm8G0028480 Svm5G0046930 Svm5G0047050 Svm3G0034890 Svm8G0001140 Svm5G0034280 Svm6G0016940 Svm5G0035790 Svm1G0035050 Svm5G0041960 Svm7G0011160 Svm1G0042440 Svm8G0020230 Svm5G0033140 Svm2G0029140 Svm5G0047670 Svm9G0063140 Svm1G0001570 Svm9G0044500 Svm1G0032840 Svm1G0032890 Svm5G0039250 Svm5G0002020 Svm9G0007220 Svm2G0048390 Svm8G0017440 Svm6G0034120 Svm1G0005590 Svm1G0040650 Svm7G0026360 Svm4G0029420 Svm2G0048300 Svm9G0035830 Svm3G0006810 Svm5G0039260
N025M00201	0.7509	0.00000	Svm2G0030160 Svm1G0035690 Svm1G0027840 Svm1G0036640 Svm2G0016500 Svm2G0021560 Svm2G0031040 Svm2G0040100 Svm2G0051530 Svm3G0011050 Svm3G0033750 Svm5G0004930 Svm8G0006990 Svm5G0010520 Svm5G0012010 Svm7G0006320 Svm7G0010760 Svm9G0017430 Svm9G0029070 Svm9G0055470 Svm3G0004110 Svm7G0023400 Svm1G0029270 Svm4G0032090 Svm8G0039300 Svm3G0038960 Svm2G0049720 Svm5G0055590 Svm1G0015070 Svm7G0035840 Svm2G0042730 Svm1G0019070 Svm7G0042480 Svm4G0008180 Svm4G0036170 Svm2G0055420 Svm1G0006610 Svm9G0055570 Svm6G0033740 Svm7G0040160 Svm5G0030510 Svm7G0008610 Svm7G0018180 Svm6G0010890 Svm5G0016020 Svm5G0015460 Svm3G0042480 Svm1G0014850 Svm3G0034030 Svm8G0020900 Svm2G0031570 Svm9G0030650 Svm3G0016640 Svm3G0027210 Svm3G0031110 Svm1G0029410 Svm8G0029690 Svm6G0025600 Svm8G0005330 Svm3G0049570
N025M00202	0.8048	0.00000	Svm7G0009270 Svm8G0008150 Svm7G0014410 Svm3G0028810 Svm1G0018520 Svm1G0031740 Svm1G0036000 Svm1G0037640 Svm1G0043510 Svm2G0025810 Svm2G0026240 Svm3G0010250 Svm3G0024720 Svm3G0032480 Svm3G0052770 Svm4G0000360 Svm4G0015330 Svm4G0018610 Svm5G0005910 Svm5G0012200 Svm5G0023170 Svm9G0023470 Svm6G0014990 Svm6G0016050 Svm7G0004090 Svm7G0004730 Svm7G0016360 Svm7G0026580 Svm7G0042450 Svm9G0013830 Svm9G0036590 Svm9G0046290 Svm4G0033540 Svm3G0038640 Svm3G0012070 Svm7G0032260 Svm2G0003420 Svm1G0006660 Svm3G0022350 Svm2G0011980 Svm4G0022700 Svm4G0032490 Svm7G0018310 Svm8G0022540 Svm9G0014750 Svm4G0020590 Svm3G0034680 Svm4G0006240 Svm5G0029040 Svm2G0055880 Svm4G0028340 Svm9G0044480 Svm5G0010710 Svm4G0000870 Svm6G0002160 Svm8G0026260 Svm8G0030620 Svm5G0020110 Svm4G0037740 Svm3G0007670 Svm3G0038160 Svm5G0037200 Svm7G0042260
N025M00203	0.2798	0.726527	Svm3G0053890 Svm5G0031580 Svm5G0008580 Svm5G0017830 Svm7G0013530 Svm3G0002200 Svm5G0046840 Svm2G0026280 Svm9G0014300 Svm6G0012830 Svm9G0066770 Svm4G0016610 Svm1G0020280 Svm6G0009640 Svm2G0035730 Svm5G0008440 Svm7G0037180 Svm7G0037760 Svm5G0017190 Svm3G0045270 Svm2G0029490 Svm6G0010070 Svm4G0008940 Svm2G0045160 Svm9G0035300 Svm2G0045170 Svm5G0046530 Svm5G0037940 Svm9G0009640 Svm9G0070340 Svm3G0016200 Svm2G0054610 Svm9G0018130 Svm8G0019570 Svm9G0054430 Svm1G0036470 Svm7G0037140 Svm9G0059420 Svm5G0056610 Svm2G0019720 Svm5G0034410 Svm5G0030530 Svm9G0068840 Svm4G0028840 Svm7G0037750 Svm9G0066780 Svm6G0004830 Svm1G0038250 Svm1G0011710 Svm7G0016150 Svm5G0008470
N025M00204	0.5588	0.00000	Svm7G0030820 Svm9G0038970 Svm2G0000290 Svm3G0053860 Svm6G0010510 Svm7G0011990 Svm8G0034010 Svm9G0014080 Svm9G0024880 Svm4G0007960 Svm9G0031940 Svm1G0003270 Svm6G0004970 Svm2G0013860 Svm3G0011720 Svm5G0028330 Svm9G0015000 Svm6G0030100 Svm3G0053150 Svm5G0030730 Svm5G0051360 Svm6G0028360 Svm9G0002840 Svm9G0043670 Svm9G0054610 Svm5G0020170 Svm1G0012600 Svm9G0053060 Svm3G0004440 Svm8G0028220 Svm5G0027070 Svm2G0013090 Svm9G0000040 Svm6G0026930 Svm8G0016760 Svm4G0034520 Svm7G0024180 Svm8G0019780 Svm4G0004880 Svm2G0027730 Svm9G0046730 Svm8G0039240 Svm2G0037110 Svm9G0044600 Svm3G0047950 Svm6G0021780 Svm7G0027860 Svm3G0011070 Svm9G0020110 Svm3G0044430 Svm1G0008020 Svm2G0013010 Svm6G0008130
N025M00205	0.2157	0.960979	Svm4G0010420 Svm3G0032210 Svm3G0050460 Svm1G0014150 Svm9G0009970 Svm7G0001840 Svm5G0033210 Svm2G0010960 Svm6G0023280 Svm3G0010420 Svm2G0013440 Svm3G0052950 Svm9G0059920 Svm6G0025370 Svm3G0000610 Svm5G0009910 Svm6G0013930 Svm8G0028540 Svm9G0051910 Svm6G0034610 Svm7G0032850 Svm5G0058790 Svm9G0046350 Svm3G0054050 Svm3G0043700 Svm9G0063820 Svm2G0005160 Svm2G0020710 Svm2G0044150 Svm1G0006970 Svm9G0068070 Svm5G0048680 Svm1G0017510 Svm5G0011970 Svm4G0005480 Svm1G0049110 Svm9G0008830
N025M00206	0.1301	0.967224	Svm2G0018180 Svm9G0068190 Svm2G0045920 Svm1G0021580 Svm5G0055520 Svm7G0040950
N025M00207	0.6651	0.00000	Svm5G0045220 Svm1G0000290 Svm5G0032210 Svm4G0032080 Svm2G0027980 Svm7G0005420 Svm7G0010180 Svm2G0001050 Svm9G0064850 Svm1G0015030 Svm7G0009980 Svm3G0008690 Svm2G0014820 Svm6G0026750 Svm3G0032580 Svm3G0007490 Svm7G0032420 Svm2G0014810 Svm9G0045650 Svm9G0002390 Svm1G0023640 Svm1G0028020 Svm1G0034340 Svm2G0002060 Svm2G0022710 Svm3G0048610 Svm4G0004690 Svm6G0003180 Svm6G0003960 Svm8G0001860 Svm8G0023410 Svm9G0001090 Svm2G0012680 Svm2G0055340 Svm2G0029350 Svm2G0049830 Svm4G0007160 Svm7G0030500 Svm7G0012770 Svm2G0056350 Svm1G0002060 Svm9G0004540 Svm1G0043770 Svm4G0029900 Svm1G0028840 Svm4G0011340 Svm5G0049360 Svm5G0050280 Svm5G0030430 Svm5G0030830 Svm8G0020410 Svm9G0060740 Svm9G0034340 Svm1G0017450 Svm1G0015640 Svm1G0010050 Svm4G0010560 Svm7G0009860 Svm3G0045050 Svm5G0016770 Svm3G0037150 Svm2G0030730 Svm9G0047940 Svm1G0023530 Svm3G0023580 Svm7G0032140 Svm6G0023970 Svm2G0034710 Svm9G0045940 Svm9G0032310
N025M00208	0.4116	2.17815e-06	Svm1G0039170 Svm2G0017990 Svm1G0010080 Svm9G0012750 Svm1G0029490 Svm6G0019560 Svm9G0033380 Svm9G0000450 Svm9G0028500 Svm4G0034370 Svm7G0029680 Svm2G0006060 Svm4G0018980 Svm4G0012820 Svm2G0028410 Svm2G0039880 Svm9G0010800 Svm9G0038730 Svm2G0011810 Svm1G0015100 Svm1G0025060 Svm3G0028150 Svm9G0003290 Svm5G0039530 Svm4G0028160 Svm4G0036540 Svm5G0034090 Svm1G0026200 Svm1G0040930 Svm2G0047770 Svm3G0003940 Svm5G0034940 Svm6G0031450 Svm7G0041430 Svm3G0043380 Svm3G0029080 Svm4G0011630 Svm4G0035870 Svm5G0000540 Svm8G0000120 Svm9G0020750 Svm5G0049090 Svm8G0003200 Svm9G0054370 Svm9G0001020 Svm5G0038430 Svm7G0037910 Svm5G0038420 Svm5G0051620 Svm9G0020740 Svm9G0022230 Svm2G0050760 Svm9G0026520 Svm2G0038730 Svm9G0014700 Svm2G0019820 Svm7G0011350 Svm5G0026330 Svm7G0007660 Svm7G0041910 Svm2G0023410 Svm5G0004350 Svm8G0010200 Svm6G0025690 Svm2G0031460 Svm7G0015010 Svm5G0019600 Svm2G0046730 Svm3G0003650 Svm9G0020680 Svm1G0039510 Svm8G0010310 Svm9G0051380 Svm5G0042130 Svm8G0018810 Svm3G0013810 Svm4G0032930 Svm2G0015150 Svm9G0069770 Svm5G0018430 Svm5G0013640 Svm3G0006100 Svm3G0007140 Svm5G0049310 Svm5G0010420 Svm4G0007080 Svm7G0018570 Svm5G0025550
N025M00209	0.5325	0.00000	Svm1G0047610 Svm2G0027990 Svm9G0054470 Svm3G0025430 Svm2G0050600 Svm5G0027850 Svm5G0051240 Svm4G0003470 Svm3G0013570 Svm5G0002630 Svm2G0056260 Svm3G0020880 Svm2G0009590 Svm9G0008880 Svm4G0003460 Svm7G0010970 Svm9G0005410 Svm4G0003430 Svm1G0047100 Svm2G0034570 Svm6G0017600 Svm4G0011490 Svm5G0048170 Svm4G0003440 Svm3G0033280 Svm5G0010720 Svm3G0048910 Svm2G0056090 Svm5G0034540 Svm1G0047390 Svm1G0034070 Svm3G0051190 Svm9G0063490 Svm3G0018720 Svm5G0037010 Svm8G0035490 Svm4G0003450 Svm1G0045820 Svm5G0052000 Svm5G0016360 Svm9G0065970 Svm5G0044560 Svm8G0035460 Svm3G0011010 Svm9G0016740 Svm6G0027310 Svm9G0002350 Svm3G0014810 Svm3G0045200 Svm5G0001880 Svm3G0009190 Svm7G0035410 Svm6G0034920 Svm7G0036080 Svm6G0020310 Svm2G0038060 Svm7G0039820 Svm5G0011640 Svm3G0031970 Svm1G0038300 Svm2G0029630 Svm7G0040690 Svm1G0002460 Svm9G0056670
N025M00210	0.5001	0.00000	Svm1G0041460 Svm7G0017850 Svm2G0039340 Svm5G0049030 Svm1G0038610 Svm5G0041990 Svm4G0000190 Svm1G0041180 Svm6G0011150 Svm2G0036570 Svm6G0014870 Svm2G0037880 Svm1G0037570 Svm9G0034220 Svm7G0004840 Svm7G0014050 Svm3G0017990 Svm6G0023570 Svm5G0010950 Svm2G0016240 Svm5G0022070 Svm4G0018470 Svm2G0011770 Svm5G0057320 Svm3G0039660 Svm9G0024380 Svm2G0011780 Svm2G0047210 Svm9G0057760 Svm2G0048600 Svm2G0004330 Svm4G0029000 Svm2G0046010 Svm7G0017660 Svm9G0020560 Svm8G0012260 Svm2G0000260 Svm3G0017390 Svm2G0047060 Svm9G0007880 Svm2G0034600 Svm9G0004840 Svm1G0032110 Svm1G0042720 Svm5G0043230 Svm4G0000180 Svm3G0022500 Svm2G0051020 Svm5G0004740 Svm4G0034150 Svm9G0050940 Svm1G0013270 Svm3G0032860 Svm9G0010320 Svm7G0036390 Svm4G0028370 Svm5G0056470 Svm4G0015320 Svm2G0056050 Svm7G0020600 Svm3G0023270 Svm9G0008920 Svm7G0011360 Svm9G0000870 Svm3G0006230 Svm9G0008910 Svm3G0038940 Svm1G0027740 Svm1G0007240 Svm1G0044610 Svm9G0020500 Svm4G0002690 Svm4G0030490 Svm6G0030120 Svm7G0023120 Svm6G0007110 Svm1G0012950 Svm4G0030540 Svm3G0021760 Svm7G0021120 Svm9G0046180 Svm4G0034410 Svm2G0006740 Svm3G0039640 Svm6G0029100 Svm2G0034610 Svm7G0006220 Svm4G0009160
N025M00211	0.3068	0.145225	Svm7G0019510 Svm3G0035470 Svm5G0021720 Svm5G0024790 Svm3G0027690 Svm3G0054200 Svm6G0003300 Svm9G0002990 Svm8G0001060 Svm1G0018630 Svm5G0042070 Svm2G0019240 Svm4G0035280 Svm4G0034500 Svm9G0054240 Svm9G0060260 Svm5G0003450 Svm4G0036250 Svm3G0029920 Svm9G0004160 Svm3G0053760 Svm4G0027590 Svm5G0006750 Svm5G0036510 Svm5G0009210 Svm9G0043840 Svm6G0031370 Svm3G0003550 Svm7G0000600 Svm3G0019100 Svm4G0013930 Svm8G0005600 Svm7G0018430 Svm9G0036520 Svm6G0004920 Svm3G0046450 Svm5G0001840 Svm3G0003490 Svm7G0024690 Svm9G0041410 Svm4G0022570 Svm9G0009030 Svm3G0043710 Svm5G0053620 Svm9G0050490
N025M00212	0.2649	0.628175	Svm2G0050540 Svm7G0004060 Svm7G0000910 Svm7G0012070 Svm2G0039450 Svm9G0067310 Svm9G0047230 Svm5G0049590 Svm5G0002240 Svm2G0003100 Svm1G0012110 Svm1G0040710 Svm2G0044570 Svm7G0029470 Svm4G0035060 Svm8G0000430 Svm1G0015170 Svm9G0004030 Svm9G0064520 Svm5G0007420 Svm2G0004720
N025M00213	0.7436	0.00000	Svm8G0000940 Svm8G0000200 Svm9G0005120 Svm9G0060690 Svm1G0018780 Svm1G0030250 Svm1G0040390 Svm2G0019460 Svm2G0026700 Svm2G0027360 Svm2G0028290 Svm2G0031160 Svm3G0031610 Svm3G0040160 Svm4G0015090 Svm4G0028350 Svm5G0006870 Svm6G0002240 Svm6G0005450 Svm6G0024490 Svm6G0028010 Svm7G0033690 Svm9G0038440 Svm6G0023840 Svm3G0022720 Svm4G0013810 Svm5G0049230 Svm3G0009420 Svm2G0006360 Svm3G0006210 Svm3G0003190 Svm2G0008210 Svm2G0031300 Svm5G0046590 Svm7G0001100 Svm3G0008950 Svm9G0018990 Svm2G0004480 Svm5G0008280 Svm5G0030340 Svm2G0053480 Svm4G0007850 Svm6G0032060 Svm9G0061080 Svm9G0008990 Svm9G0033930 Svm2G0004870 Svm6G0008270 Svm4G0003000 Svm8G0005900 Svm2G0007480 Svm1G0000510 Svm1G0046620 Svm2G0023510 Svm2G0050380 Svm5G0047220 Svm7G0003570 Svm3G0046630 Svm2G0032810 Svm6G0001950 Svm4G0019330 Svm8G0031430 Svm5G0046290 Svm7G0024780 Svm2G0011140 Svm1G0034770 Svm6G0005070
N025M00214	0.3856	0.00297949	Svm3G0026350 Svm3G0017710 Svm7G0039100 Svm5G0013700 Svm3G0018380 Svm1G0030720 Svm5G0050940 Svm3G0006470 Svm7G0028060 Svm5G0011250 Svm7G0000380 Svm1G0049330 Svm1G0003300 Svm1G0040170 Svm1G0038600 Svm3G0012530 Svm4G0016830 Svm5G0047230 Svm9G0031030 Svm7G0035560 Svm4G0006520 Svm4G0002550 Svm9G0046970 Svm2G0000480 Svm8G0031360 Svm3G0034830 Svm2G0050120 Svm9G0007780 Svm1G0033510 Svm9G0004150 Svm4G0009860 Svm7G0037070 Svm5G0006800 Svm3G0029320 Svm7G0035860 Svm2G0042220 Svm2G0024930 Svm5G0048250 Svm1G0038150 Svm1G0007210 Svm5G0004470 Svm6G0029450 Svm9G0046200 Svm5G0031980 Svm9G0054820 Svm5G0048330 Svm9G0042960 Svm3G0015030 Svm3G0007950 Svm5G0017260 Svm5G0033110 Svm7G0037090 Svm4G0013570 Svm2G0036370 Svm2G0052690 Svm2G0050170 Svm3G0050830 Svm5G0049250 Svm1G0032950 Svm5G0050270 Svm8G0037980 Svm9G0000800 Svm9G0066000 Svm7G0034660 Svm2G0034800 Svm7G0024590 Svm2G0044960
N025M00215	0.8131	0.00000	Svm5G0004210 Svm4G0011900 Svm1G0020260 Svm3G0036310 Svm1G0030070 Svm1G0030080 Svm9G0044840 Svm3G0011400 Svm9G0016940 Svm5G0005920 Svm6G0021490 Svm9G0012560 Svm8G0002260 Svm1G0044430 Svm7G0008360 Svm3G0041820 Svm2G0036200 Svm2G0034420 Svm3G0041220 Svm7G0029210 Svm2G0046400 Svm2G0049700 Svm9G0064600 Svm7G0005920 Svm5G0007310 Svm9G0021210 Svm2G0051010 Svm2G0030990 Svm7G0024060 Svm4G0024710 Svm3G0003700 Svm9G0066540 Svm8G0037190 Svm2G0024490 Svm9G0054140 Svm7G0000070 Svm2G0045760 Svm9G0009370 Svm4G0028850 Svm6G0032920 Svm9G0015180 Svm9G0011130 Svm3G0004430 Svm5G0033850 Svm2G0015140 Svm8G0035660 Svm1G0018690 Svm4G0024030 Svm6G0002650 Svm2G0006790 Svm8G0034480 Svm6G0017030 Svm2G0043220 Svm7G0041850 Svm3G0034120 Svm5G0019110 Svm9G0039770 Svm8G0034460 Svm3G0023650 Svm5G0043100 Svm3G0034160 Svm4G0027090 Svm8G0028730 Svm2G0018180 Svm3G0011820 Svm6G0032450 Svm9G0065370 Svm9G0041210 Svm5G0023840 Svm5G0057670 Svm9G0068190 Svm4G0033880 Svm3G0029760 Svm8G0029220
N025M00216	0.09233	0.943824	Svm1G0030600 Svm5G0058810 Svm2G0054790 Svm9G0051340
N025M00217	0.2254	0.893269	Svm8G0031090 Svm3G0037870 Svm3G0011490 Svm4G0002960 Svm2G0005290 Svm5G0038100 Svm6G0012000 Svm1G0011970 Svm5G0046670 Svm9G0045380 Svm3G0030760 Svm1G0005500 Svm3G0016000 Svm1G0029330 Svm7G0028180 Svm9G0025210 Svm9G0032160 Svm4G0002950 Svm9G0041130 Svm9G0012180 Svm3G0052810 Svm4G0031240 Svm5G0014830 Svm2G0014040 Svm2G0042920 Svm6G0020220 Svm4G0021000 Svm1G0044760 Svm9G0000840
N025M00218	0.6690	0.00000	Svm7G0009480 Svm5G0038870 Svm1G0047330 Svm1G0044410 Svm6G0024040 Svm9G0066330 Svm5G0010960 Svm7G0012680 Svm4G0025230 Svm9G0065780 Svm6G0023870 Svm7G0017700 Svm1G0002070 Svm4G0036960 Svm3G0021410 Svm8G0025850 Svm7G0033670 Svm9G0015870 Svm4G0037790 Svm3G0045480 Svm9G0046910 Svm8G0011770 Svm8G0005110 Svm7G0034590 Svm3G0013470 Svm7G0032720 Svm5G0054980 Svm5G0014840 Svm7G0004060 Svm6G0029130 Svm7G0029840 Svm6G0001920 Svm9G0041840 Svm1G0022480 Svm9G0043060 Svm9G0016470 Svm2G0030240 Svm9G0045960 Svm8G0002440 Svm1G0008500 Svm7G0028850 Svm9G0058940 Svm1G0032260 Svm5G0041340 Svm9G0046530 Svm9G0018460 Svm7G0025360 Svm6G0020780 Svm4G0030390 Svm1G0037850 Svm4G0027640 Svm5G0020350 Svm9G0011110 Svm9G0013350 Svm4G0028050 Svm5G0055460 Svm9G0044340 Svm1G0049340 Svm3G0014970 Svm5G0004840 Svm9G0067310 Svm3G0026730 Svm5G0016860 Svm9G0053150 Svm9G0068360 Svm6G0032710 Svm9G0038270 Svm9G0070420 Svm2G0033510 Svm3G0048180 Svm4G0034030 Svm2G0031550 Svm4G0024490 Svm7G0005580 Svm9G0013680 Svm1G0028670 Svm5G0037020 Svm9G0055350 Svm8G0011550 Svm9G0022860 Svm3G0009820 Svm4G0001500 Svm4G0026430 Svm3G0018140 Svm5G0024490 Svm8G0005370 Svm5G0011990 Svm6G0000950 Svm7G0019440 Svm9G0039110 Svm9G0003720 Svm9G0062000 Svm5G0047900 Svm9G0039700 Svm1G0001130 Svm9G0059890 Svm6G0035430 Svm5G0003730 Svm3G0033640 Svm5G0006860 Svm9G0007130 Svm1G0037230 Svm5G0050320 Svm5G0008330 Svm1G0009160 Svm2G0027270 Svm1G0015160 Svm7G0035230 Svm2G0036430 Svm2G0006560
N025M00219	0.5856	0.00000	Svm7G0035620 Svm4G0035480 Svm7G0037620 Svm9G0062470 Svm4G0036610 Svm9G0059410 Svm8G0003580 Svm5G0030800 Svm9G0054650 Svm3G0040530 Svm8G0004170 Svm2G0026280 Svm9G0014300 Svm9G0036150 Svm2G0021650 Svm4G0011790 Svm2G0012530 Svm6G0032730 Svm5G0043590 Svm6G0028950 Svm3G0002690 Svm5G0046050 Svm9G0045240 Svm3G0001030 Svm8G0013900 Svm6G0010070 Svm4G0003900 Svm2G0040050 Svm5G0012900 Svm8G0038910 Svm4G0013390 Svm2G0052350 Svm3G0006550 Svm2G0014450 Svm4G0018920 Svm1G0022160 Svm3G0021460 Svm3G0002390 Svm5G0029610 Svm9G0002750 Svm8G0011150 Svm6G0031270 Svm4G0029640 Svm9G0054890 Svm3G0014840 Svm5G0007160 Svm9G0052710 Svm8G0015190 Svm4G0019400 Svm1G0033020 Svm7G0037170 Svm3G0053430
