#Network	Quality Score	P-value	Gene List
N025M00001	0.7027	0.00000	Svm3G0037680 Svm8G0018500 Svm5G0050080 Svm2G0016130 Svm9G0055880 Svm1G0005040 Svm1G0015260 Svm1G0019300 Svm1G0038070 Svm2G0010570 Svm2G0020780 Svm2G0034050 Svm2G0034120 Svm2G0043670 Svm3G0012340 Svm3G0022260 Svm3G0028600 Svm3G0045360 Svm4G0004700 Svm4G0014460 Svm4G0014890 Svm5G0013310 Svm5G0018980 Svm5G0028970 Svm5G0044810 Svm5G0048560 Svm6G0016040 Svm6G0018370 Svm6G0024530 Svm6G0033350 Svm7G0004000 Svm7G0005970 Svm7G0006780 Svm7G0007820 Svm7G0009010 Svm7G0010610 Svm7G0010930 Svm7G0018070 Svm7G0039300 Svm8G0013190 Svm8G0014620 Svm8G0018260 Svm8G0020210 Svm9G0003860 Svm9G0043960 Svm6G0015170 Svm6G0011990 Svm7G0005560 Svm3G0028570 Svm7G0001710 Svm2G0036820 Svm9G0044720 Svm2G0021700 Svm7G0009740 Svm4G0026550 Svm3G0042040 Svm2G0052890 Svm3G0009600 Svm3G0022130 Svm5G0055690 Svm4G0036650 Svm7G0028320 Svm2G0006010 Svm9G0046070 Svm9G0047820 Svm9G0050580 Svm9G0063920 Svm9G0065720 Svm9G0066030 Svm8G0023380 Svm7G0008990 Svm2G0024400 Svm2G0011640 Svm2G0016060 Svm5G0041840 Svm9G0026230 Svm9G0027690 Svm5G0038440 Svm1G0039980 Svm4G0011820 Svm4G0034270 Svm3G0038580 Svm7G0029220 Svm9G0058880 Svm8G0024220 Svm6G0006640 Svm2G0017850 Svm8G0016370 Svm6G0024410 Svm1G0012240 Svm3G0039290 Svm7G0010510 Svm6G0019030 Svm2G0028450 Svm8G0035960 Svm3G0036240 Svm6G0034170 Svm9G0049370 Svm4G0019500 Svm2G0002610 Svm5G0032380 Svm3G0017110 Svm1G0049030 Svm9G0051250 Svm2G0011200 Svm3G0025090 Svm4G0018930 Svm5G0037460 Svm5G0032950 Svm7G0005840 Svm1G0004080 Svm9G0063360 Svm3G0002130 Svm2G0030970 Svm8G0024320 Svm9G0051410 Svm9G0015630 Svm9G0033140 Svm9G0062620 Svm2G0038490
N025M00002	0.7245	0.00000	Svm2G0044710 Svm1G0000070 Svm1G0025790 Svm1G0044150 Svm2G0004630 Svm2G0017010 Svm2G0022950 Svm2G0027680 Svm2G0033470 Svm2G0035150 Svm2G0052000 Svm3G0008810 Svm3G0014920 Svm3G0015230 Svm3G0020860 Svm3G0023520 Svm3G0023820 Svm3G0034420 Svm3G0036300 Svm3G0037790 Svm3G0037940 Svm3G0038050 Svm3G0038060 Svm3G0046360 Svm4G0011860 Svm4G0014200 Svm4G0015650 Svm4G0016300 Svm4G0018630 Svm4G0030730 Svm4G0032860 Svm5G0000610 Svm5G0039450 Svm5G0042300 Svm5G0044760 Svm5G0046180 Svm5G0056790 Svm5G0057820 Svm6G0008840 Svm6G0022300 Svm6G0024570 Svm6G0032640 Svm7G0002550 Svm7G0007870 Svm7G0026740 Svm7G0027450 Svm7G0034670 Svm7G0041370 Svm8G0014020 Svm8G0018740 Svm8G0022990 Svm8G0026330 Svm8G0030860 Svm8G0030900 Svm6G0025070 Svm8G0034350 Svm4G0028000 Svm8G0036650 Svm5G0035100 Svm6G0034040 Svm8G0037690 Svm7G0001080 Svm9G0044190 Svm9G0006500 Svm9G0050730 Svm2G0022980 Svm9G0053900 Svm2G0013140 Svm4G0033850 Svm4G0009180 Svm6G0003980 Svm1G0028770 Svm8G0001250 Svm9G0033750 Svm5G0051780 Svm1G0037450 Svm8G0009960 Svm6G0006910 Svm2G0003050 Svm2G0014330 Svm9G0036760 Svm6G0021470 Svm6G0022860 Svm6G0005010 Svm4G0035460 Svm8G0023890 Svm5G0004330 Svm9G0020780 Svm3G0050440 Svm4G0008980 Svm8G0022840 Svm5G0047310 Svm9G0040540 Svm7G0009840 Svm1G0004660 Svm8G0019560 Svm4G0032280 Svm3G0016070 Svm9G0003040 Svm2G0044640 Svm9G0049060 Svm7G0031220 Svm9G0037810 Svm8G0032660 Svm7G0008040 Svm3G0035160 Svm7G0001910 Svm6G0025550 Svm6G0008530 Svm9G0051770 Svm2G0027020 Svm9G0041640 Svm9G0037740 Svm5G0019220 Svm7G0021560 Svm1G0038760 Svm9G0021120 Svm2G0009370 Svm3G0040800 Svm2G0047580 Svm2G0017390 Svm8G0012600 Svm1G0044530
N025M00003	0.6902	0.00000	Svm1G0046290 Svm5G0033260 Svm6G0007480 Svm6G0023610 Svm7G0008190 Svm8G0014740 Svm4G0034960 Svm8G0017520 Svm9G0015150 Svm9G0020260 Svm9G0027010 Svm3G0038690 Svm2G0006630 Svm4G0014250 Svm1G0013770 Svm8G0009390 Svm7G0025950 Svm5G0012100 Svm4G0032190 Svm8G0028450 Svm5G0015770 Svm4G0000440 Svm4G0035770 Svm8G0020030 Svm3G0024070 Svm8G0011780 Svm1G0015790 Svm8G0029330 Svm1G0015750 Svm2G0014100 Svm7G0036290 Svm1G0015710 Svm3G0006790 Svm4G0010130 Svm8G0028310 Svm8G0037540 Svm5G0058330 Svm5G0001430 Svm1G0003260 Svm4G0018730 Svm7G0001720 Svm9G0035340 Svm2G0007920 Svm9G0068000 Svm6G0031210 Svm2G0027300 Svm2G0010230 Svm5G0042330 Svm5G0010780 Svm5G0024730 Svm6G0031090 Svm4G0027260 Svm9G0057420 Svm7G0004630 Svm1G0004480 Svm3G0039960 Svm9G0014800 Svm2G0000270 Svm3G0042240 Svm6G0015870 Svm8G0016600 Svm7G0008300 Svm1G0043300 Svm5G0056730 Svm2G0002730 Svm9G0006630 Svm7G0001640 Svm6G0006950 Svm8G0032630 Svm9G0034970 Svm1G0018350 Svm9G0015570 Svm7G0028980 Svm9G0008230 Svm9G0036870 Svm8G0037850 Svm8G0013390 Svm3G0000090 Svm6G0010030 Svm5G0054770 Svm3G0048530 Svm1G0023960 Svm2G0034810 Svm6G0024120 Svm7G0016160 Svm1G0004440 Svm4G0011680 Svm4G0008820 Svm8G0024870 Svm6G0012280 Svm9G0017290 Svm6G0011280 Svm2G0025820 Svm8G0025370 Svm9G0064340 Svm4G0034530 Svm4G0017990 Svm8G0026630 Svm4G0026190 Svm4G0007510 Svm1G0047760 Svm8G0020380 Svm6G0031940 Svm9G0006750 Svm8G0017310 Svm8G0005020 Svm2G0009150 Svm6G0020930 Svm1G0034840 Svm9G0033700 Svm8G0026340 Svm1G0010750 Svm9G0020600 Svm6G0012910 Svm4G0011410 Svm7G0040860 Svm1G0045710 Svm1G0034040 Svm2G0012550 Svm3G0040110
N025M00004	0.7405	0.00000	Svm1G0011320 Svm1G0042220 Svm2G0005730 Svm2G0011360 Svm2G0045750 Svm2G0052980 Svm3G0042720 Svm5G0004670 Svm5G0013350 Svm5G0043780 Svm3G0001980 Svm3G0007100 Svm3G0013100 Svm3G0036050 Svm9G0030530 Svm3G0022020 Svm5G0039920 Svm9G0043740 Svm5G0021570 Svm9G0049770 Svm3G0015410 Svm4G0014280 Svm4G0033560 Svm2G0034020 Svm3G0032110 Svm3G0040210 Svm3G0043110 Svm3G0050540 Svm4G0025800 Svm5G0004370 Svm5G0022720 Svm5G0029410 Svm5G0033280 Svm5G0035170 Svm5G0043020 Svm5G0047120 Svm5G0050550 Svm6G0001870 Svm6G0006420 Svm9G0004620 Svm2G0012130 Svm6G0009490 Svm7G0006250 Svm7G0024810 Svm7G0026970 Svm7G0028630 Svm7G0040990 Svm9G0004260 Svm9G0007850 Svm2G0034410 Svm3G0038750 Svm9G0030290 Svm4G0032300 Svm1G0000650 Svm2G0003930 Svm9G0022430 Svm4G0023040 Svm2G0038230 Svm4G0014300 Svm4G0033570 Svm5G0006900 Svm5G0009480 Svm7G0028610 Svm6G0030740 Svm5G0054210 Svm5G0029850 Svm9G0019800 Svm5G0001830 Svm9G0063280 Svm6G0003440 Svm9G0065860 Svm5G0011370 Svm5G0040380 Svm7G0029990 Svm9G0045670 Svm1G0021050 Svm6G0033420 Svm6G0028140 Svm9G0054280 Svm2G0037470 Svm9G0001140 Svm2G0049050 Svm5G0036140 Svm6G0032280 Svm9G0023960 Svm5G0005510 Svm6G0005340 Svm3G0008070 Svm9G0022140 Svm1G0047020 Svm3G0017350 Svm5G0029910 Svm9G0048000 Svm4G0037190 Svm9G0009010 Svm7G0019080 Svm4G0009750 Svm3G0042570 Svm7G0024130 Svm3G0013120 Svm1G0027480 Svm9G0062660 Svm4G0019520 Svm9G0026170 Svm1G0012710 Svm9G0031130 Svm6G0014950 Svm5G0003940 Svm3G0027800 Svm7G0024550 Svm5G0006100 Svm6G0025410 Svm7G0017310 Svm1G0035760 Svm6G0016310 Svm6G0020630
N025M00005	0.04296	0.985452	Svm9G0019200 Svm3G0019080 Svm2G0033660
N025M00006	0.7026	0.00000	Svm3G0022320 Svm9G0061570 Svm2G0022050 Svm2G0007820 Svm1G0009020 Svm7G0007430 Svm1G0017270 Svm1G0017810 Svm1G0026220 Svm2G0012340 Svm2G0014960 Svm2G0042490 Svm2G0045080 Svm3G0008940 Svm3G0021800 Svm3G0027300 Svm3G0049040 Svm4G0003240 Svm4G0006480 Svm4G0007910 Svm6G0010860 Svm6G0013800 Svm5G0037230 Svm6G0024100 Svm7G0011490 Svm7G0018000 Svm7G0022480 Svm7G0032060 Svm7G0038300 Svm8G0026870 Svm8G0038590 Svm9G0000250 Svm9G0043950 Svm9G0052120 Svm9G0059390 Svm9G0059580 Svm9G0065300 Svm6G0013830 Svm9G0000260 Svm8G0030810 Svm6G0016510 Svm4G0023100 Svm3G0006880 Svm6G0028780 Svm6G0013770 Svm2G0035800 Svm5G0001820 Svm5G0022440 Svm7G0014140 Svm5G0010580 Svm2G0031970 Svm6G0034250 Svm9G0014410 Svm2G0027940 Svm5G0039670 Svm9G0038340 Svm3G0007730 Svm2G0046460 Svm2G0011030 Svm4G0035600 Svm9G0004610 Svm4G0023690 Svm7G0028300 Svm5G0052260 Svm6G0022060 Svm5G0025180 Svm3G0005630 Svm6G0005890 Svm5G0003680 Svm8G0014090 Svm4G0022200 Svm3G0013600 Svm1G0028210 Svm6G0017090 Svm2G0003550 Svm9G0054290 Svm2G0037320 Svm1G0023820 Svm8G0014450 Svm9G0068560 Svm1G0018670 Svm4G0002620 Svm8G0000540 Svm9G0016760 Svm9G0025330 Svm6G0013790 Svm4G0004300 Svm9G0012520 Svm5G0024530 Svm5G0020460 Svm4G0027600 Svm9G0064880 Svm7G0004640 Svm8G0030060 Svm7G0008110 Svm5G0005790 Svm2G0025300 Svm3G0025230 Svm3G0031650 Svm6G0034800 Svm5G0021330 Svm2G0014640 Svm6G0004110 Svm5G0005540 Svm6G0032850 Svm3G0024880 Svm5G0046350 Svm6G0024870 Svm2G0006600 Svm5G0041930 Svm2G0044870 Svm5G0011200 Svm6G0009410 Svm1G0011040
N025M00007	0.7626	0.00000	Svm2G0005990 Svm5G0030820 Svm1G0004370 Svm1G0015820 Svm1G0016150 Svm1G0036400 Svm1G0040190 Svm2G0023590 Svm2G0025950 Svm2G0029290 Svm2G0033790 Svm3G0012260 Svm3G0039510 Svm3G0048130 Svm3G0049970 Svm4G0012600 Svm4G0029330 Svm4G0035540 Svm5G0002650 Svm5G0005850 Svm1G0027160 Svm3G0009470 Svm3G0053210 Svm5G0013210 Svm5G0019310 Svm6G0001760 Svm6G0007740 Svm6G0014110 Svm6G0018140 Svm6G0023170 Svm7G0002230 Svm7G0025480 Svm8G0006960 Svm8G0025120 Svm8G0025340 Svm8G0027780 Svm9G0003800 Svm9G0028630 Svm9G0031580 Svm9G0033590 Svm4G0034570 Svm2G0024890 Svm2G0022740 Svm9G0042590 Svm4G0033510 Svm9G0002130 Svm9G0051860 Svm2G0037000 Svm9G0051990 Svm4G0005340 Svm2G0009610 Svm6G0012930 Svm5G0020530 Svm5G0024870 Svm2G0028140 Svm6G0025330 Svm8G0014380 Svm9G0017680 Svm7G0011180 Svm9G0031740 Svm4G0016140 Svm5G0020940 Svm5G0050490 Svm5G0040360 Svm5G0016140 Svm5G0031940 Svm9G0001390 Svm5G0021370 Svm4G0005760 Svm9G0007970 Svm5G0020140 Svm8G0024880 Svm7G0039500 Svm2G0041840 Svm4G0018450 Svm2G0020940 Svm2G0002070 Svm1G0028520 Svm9G0033820 Svm6G0023740 Svm1G0039780 Svm1G0025840 Svm3G0011340 Svm3G0001220 Svm9G0034170 Svm3G0010400 Svm3G0050430 Svm9G0011050 Svm3G0042400 Svm7G0034060 Svm4G0030590 Svm4G0017030 Svm4G0016220 Svm5G0010280 Svm1G0043440 Svm7G0024050 Svm1G0010510 Svm4G0010120 Svm9G0042580 Svm1G0037360 Svm8G0017180 Svm1G0030140 Svm7G0012880 Svm1G0010000 Svm3G0038100 Svm1G0010760 Svm7G0013420 Svm4G0007070 Svm1G0026610 Svm1G0036100 Svm2G0032950 Svm5G0054880 Svm1G0000340 Svm6G0006000 Svm3G0009530 Svm2G0010330 Svm2G0029640 Svm5G0016750 Svm7G0033230 Svm9G0006460
N025M00008	0.2994	0.337267	Svm7G0037320 Svm4G0036740 Svm2G0043310 Svm7G0036760 Svm4G0008850 Svm6G0035470 Svm5G0030200 Svm2G0011430 Svm3G0017840 Svm1G0032180 Svm3G0032230 Svm1G0028560 Svm9G0068500 Svm4G0009480 Svm9G0011160 Svm5G0026310 Svm1G0039450 Svm2G0016460 Svm1G0009960 Svm3G0000900 Svm3G0017660 Svm9G0045260 Svm8G0038880 Svm2G0019500 Svm5G0025420 Svm1G0039930 Svm6G0011420 Svm3G0007690 Svm5G0039580 Svm5G0029810 Svm4G0032430 Svm1G0027510 Svm9G0017540 Svm1G0009990 Svm6G0021260 Svm4G0034880 Svm5G0047150 Svm3G0027120 Svm5G0031620 Svm3G0026690 Svm9G0014890 Svm4G0002190 Svm6G0006770 Svm2G0022750 Svm6G0013510 Svm5G0034340 Svm9G0002040 Svm2G0046580 Svm1G0049130 Svm8G0032240 Svm9G0041700 Svm1G0040140 Svm3G0001620 Svm4G0007300 Svm6G0032950 Svm2G0010260 Svm3G0050620 Svm3G0050660 Svm3G0050690 Svm3G0022180 Svm5G0044920 Svm5G0050230 Svm3G0054040 Svm1G0012970 Svm4G0029150 Svm6G0012240 Svm7G0013140 Svm1G0012470 Svm1G0023020 Svm2G0013030 Svm4G0030950 Svm5G0008760 Svm1G0040030 Svm8G0023520
N025M00009	0.7073	0.00000	Svm5G0037260 Svm5G0034190 Svm8G0028010 Svm2G0016100 Svm1G0039790 Svm5G0056540 Svm8G0033570 Svm1G0024650 Svm2G0017800 Svm3G0054280 Svm5G0019120 Svm4G0037580 Svm6G0017010 Svm2G0022190 Svm9G0039890 Svm7G0019240 Svm6G0001040 Svm3G0008990 Svm2G0039540 Svm8G0000220 Svm2G0039910 Svm5G0038590 Svm3G0042250 Svm4G0037240 Svm9G0029820 Svm9G0050380 Svm2G0057680 Svm7G0016710 Svm4G0017330 Svm4G0001170 Svm5G0013960 Svm1G0028370 Svm2G0020310 Svm9G0037720 Svm1G0021690 Svm7G0013620 Svm8G0002600 Svm1G0041160 Svm2G0020370 Svm6G0003630 Svm5G0014170 Svm8G0013010 Svm3G0001560 Svm1G0002390 Svm3G0035780 Svm6G0028220 Svm1G0021350 Svm2G0030550 Svm4G0012160 Svm4G0029610 Svm3G0019080 Svm8G0007700 Svm5G0004790 Svm8G0004790 Svm8G0017580 Svm9G0018020 Svm2G0027080 Svm2G0001560 Svm1G0042730 Svm9G0002420 Svm9G0004310 Svm6G0020690 Svm1G0030130 Svm2G0035680 Svm6G0016790 Svm3G0046140 Svm3G0041410 Svm8G0032110 Svm2G0040930 Svm3G0041720 Svm8G0007000 Svm2G0009430 Svm2G0035710 Svm3G0022280 Svm4G0011130 Svm5G0012780 Svm7G0040720 Svm3G0034480 Svm6G0028810 Svm8G0004190 Svm2G0042780 Svm1G0022830 Svm1G0025300 Svm6G0027250 Svm6G0004590 Svm3G0002550 Svm4G0017630 Svm5G0030260 Svm1G0026730 Svm2G0033660 Svm3G0041230 Svm8G0007990 Svm9G0016950 Svm6G0007400 Svm3G0013340 Svm9G0033240 Svm5G0048270 Svm4G0021620 Svm1G0010790 Svm5G0049440 Svm5G0051000 Svm2G0001620 Svm1G0024460 Svm2G0037630 Svm9G0057960 Svm1G0006000 Svm9G0034960 Svm5G0051600 Svm9G0011100 Svm7G0005270 Svm5G0024620 Svm7G0015800 Svm9G0057700 Svm2G0018680 Svm8G0000560 Svm9G0034470 Svm4G0000410 Svm5G0013160 Svm3G0052310
N025M00010	0.7348	0.00000	Svm9G0033370 Svm8G0006720 Svm9G0005760 Svm3G0038480 Svm8G0010290 Svm9G0044260 Svm5G0016520 Svm1G0023980 Svm7G0012230 Svm1G0024130 Svm4G0000400 Svm3G0030850 Svm4G0017800 Svm1G0037920 Svm2G0045910 Svm4G0024910 Svm5G0019640 Svm4G0034790 Svm5G0027600 Svm6G0007070 Svm6G0015690 Svm6G0021670 Svm8G0010550 Svm8G0024670 Svm8G0029420 Svm2G0022260 Svm8G0031860 Svm8G0033490 Svm8G0036820 Svm9G0035090 Svm9G0047680 Svm8G0005960 Svm8G0029250 Svm6G0005910 Svm5G0040700 Svm7G0029450 Svm8G0013720 Svm8G0012300 Svm5G0018250 Svm6G0018120 Svm8G0019210 Svm9G0027380 Svm6G0007770 Svm3G0028880 Svm5G0004230 Svm8G0013320 Svm1G0049480 Svm2G0041910 Svm1G0018000 Svm7G0009460 Svm3G0009950 Svm6G0004730 Svm9G0018720 Svm3G0014800 Svm3G0027790 Svm8G0035340 Svm6G0010680 Svm3G0038870 Svm9G0013130 Svm4G0013160 Svm7G0009130 Svm7G0028450 Svm9G0035820 Svm6G0022440 Svm7G0005540 Svm8G0006170 Svm2G0015980 Svm9G0024130 Svm1G0023400 Svm3G0014660 Svm4G0032240 Svm1G0045140 Svm6G0016250 Svm7G0016660 Svm1G0004140 Svm9G0040380 Svm1G0027140 Svm6G0005930 Svm4G0002360 Svm1G0023000 Svm9G0066370 Svm1G0039240 Svm6G0002700 Svm8G0022080 Svm9G0042620 Svm4G0011740 Svm3G0037420 Svm5G0027960 Svm7G0001810 Svm1G0032960 Svm2G0054760 Svm3G0008490 Svm8G0020320 Svm9G0059600 Svm2G0031190 Svm7G0029030 Svm7G0005120 Svm7G0008330 Svm2G0007400 Svm5G0014160 Svm1G0041900 Svm5G0053020 Svm1G0021310 Svm1G0032910 Svm9G0023610 Svm4G0036860 Svm5G0010290 Svm9G0065440 Svm1G0011720 Svm3G0016880 Svm8G0004340 Svm2G0016710 Svm3G0024140 Svm7G0015320 Svm3G0033000 Svm6G0029950 Svm4G0004400 Svm1G0043170 Svm1G0048670
