#Network	Quality Score	P-value	Gene List
N005M00001	0.3292	2.21830e-09	Svm1G0000070 Svm1G0025790 Svm8G0037690 Svm3G0038050 Svm4G0018630 Svm4G0030730 Svm5G0046180 Svm5G0056790 Svm5G0057820 Svm6G0008840 Svm6G0022300 Svm6G0024570 Svm8G0030900 Svm9G0050730 Svm9G0053900 Svm8G0026330 Svm7G0027450 Svm7G0002550 Svm7G0026740 Svm8G0030860 Svm6G0032640 Svm7G0007870 Svm7G0034670 Svm7G0041370 Svm8G0014020 Svm8G0018740 Svm8G0022990 Svm8G0034350 Svm8G0036650 Svm9G0044190
N005M00002	0.2895	2.89990e-08	Svm9G0033340 Svm1G0022250 Svm1G0027170 Svm7G0015740 Svm8G0008680 Svm9G0051790 Svm9G0026410 Svm8G0023950 Svm8G0007650 Svm8G0015480 Svm5G0008980 Svm5G0041370 Svm5G0044090 Svm7G0008920 Svm7G0008930 Svm7G0033820 Svm8G0011230 Svm8G0017870 Svm8G0036000 Svm9G0003790 Svm9G0010020 Svm9G0018650 Svm9G0021900 Svm9G0034080 Svm9G0041600 Svm9G0058180
N005M00003	0.3105	2.36455e-09	Svm1G0009200 Svm7G0029530 Svm1G0017570 Svm7G0040510 Svm8G0009710 Svm8G0010380 Svm8G0030870 Svm9G0007050 Svm4G0002810 Svm5G0014260 Svm5G0021920 Svm7G0019030 Svm7G0040930 Svm8G0017540 Svm8G0020890 Svm8G0023000 Svm8G0023980 Svm8G0026430 Svm8G0029240 Svm8G0034070 Svm8G0036830 Svm9G0016450 Svm9G0024360 Svm9G0028270 Svm9G0031680 Svm9G0033320 Svm9G0035350 Svm9G0042830 Svm9G0067770
N005M00004	0.6681	0.00000	Svm1G0004370 Svm1G0015820 Svm4G0012600 Svm1G0016150 Svm1G0036400 Svm1G0040190 Svm2G0023590 Svm2G0025950 Svm2G0033790 Svm2G0029290 Svm3G0012260 Svm3G0039510 Svm4G0035540 Svm3G0048130 Svm3G0049970 Svm4G0029330 Svm5G0002650 Svm5G0005850 Svm5G0013210 Svm5G0019310 Svm6G0001760 Svm6G0007740 Svm6G0014110 Svm6G0018140 Svm6G0023170 Svm7G0002230 Svm7G0025480 Svm8G0006960 Svm8G0025120 Svm8G0025340 Svm8G0027780 Svm9G0003800 Svm9G0028630 Svm9G0031580 Svm9G0033590
N005M00005	0.3266	0.00000	Svm1G0006700 Svm1G0011140 Svm4G0011660 Svm5G0034770 Svm5G0043360 Svm6G0012580 Svm6G0017070 Svm6G0017510 Svm6G0021010 Svm6G0023760 Svm7G0009090 Svm7G0019460 Svm7G0020760 Svm7G0026330 Svm8G0011050 Svm8G0024530 Svm8G0024610 Svm8G0029500 Svm9G0008110 Svm9G0025930 Svm9G0028620 Svm9G0032870 Svm9G0034370 Svm9G0036480 Svm9G0044180 Svm9G0045090 Svm9G0052190 Svm9G0062550 Svm9G0064150 Svm8G0025920 Svm3G0052070 Svm9G0068680 Svm1G0014210 Svm3G0033240 Svm1G0006170 Svm4G0022450
N005M00006	0.6642	0.00000	Svm1G0001920 Svm8G0033680 Svm1G0016700 Svm1G0025440 Svm1G0025600 Svm2G0009940 Svm2G0010970 Svm2G0026430 Svm2G0027100 Svm3G0004130 Svm3G0005300 Svm3G0006150 Svm3G0015010 Svm3G0045810 Svm3G0048560 Svm4G0022770 Svm5G0016900 Svm5G0019010 Svm6G0009100 Svm6G0018000 Svm6G0019920 Svm6G0025430 Svm6G0029590 Svm7G0039010 Svm8G0000520 Svm8G0003670 Svm8G0008110 Svm8G0008160 Svm8G0031270 Svm9G0029750 Svm9G0030370 Svm9G0049830
N005M00007	0.5732	0.00000	Svm9G0055880 Svm1G0005040 Svm1G0015260 Svm1G0019300 Svm1G0038070 Svm2G0010570 Svm2G0020780 Svm2G0034050 Svm2G0034120 Svm2G0043670 Svm3G0012340 Svm3G0022260 Svm3G0028600 Svm3G0045360 Svm4G0004700 Svm4G0014460 Svm4G0014890 Svm5G0018980 Svm5G0028970 Svm6G0016040 Svm6G0018370 Svm7G0007820 Svm7G0009010 Svm7G0010610 Svm7G0010930 Svm8G0014620 Svm8G0018260 Svm8G0020210 Svm9G0003860 Svm9G0043960 Svm9G0046070 Svm9G0047820 Svm9G0050580 Svm9G0063920 Svm9G0065720 Svm9G0066030
N005M00008	0.2591	1.80787e-06	Svm5G0010320 Svm1G0004830 Svm1G0016330 Svm5G0021440 Svm8G0024430 Svm9G0004810 Svm5G0022130 Svm7G0023390 Svm8G0008930 Svm8G0018420 Svm8G0021080 Svm8G0022710 Svm9G0005420 Svm9G0015730 Svm9G0021130 Svm9G0029410 Svm9G0031800 Svm9G0033550 Svm9G0036530 Svm9G0042850 Svm9G0067910
N005M00009	0.6837	0.00000	Svm7G0038220 Svm1G0025900 Svm1G0030160 Svm2G0007010 Svm2G0017840 Svm8G0023960 Svm2G0023370 Svm2G0052310 Svm3G0009840 Svm3G0024250 Svm3G0032830 Svm3G0040570 Svm4G0015860 Svm4G0017190 Svm5G0013110 Svm6G0008240 Svm6G0010720 Svm6G0017280 Svm7G0003590 Svm7G0003600 Svm7G0008090 Svm7G0019580 Svm7G0030410 Svm8G0001520 Svm8G0009500 Svm8G0011030 Svm8G0011910 Svm8G0014210 Svm8G0014410 Svm8G0027400 Svm8G0027970 Svm9G0005200 Svm9G0011710 Svm9G0018080 Svm9G0027160 Svm9G0032750 Svm9G0041850 Svm9G0058860
N005M00010	0.6773	0.00000	Svm1G0007410 Svm1G0021450 Svm7G0035950 Svm1G0021470 Svm1G0047630 Svm2G0051360 Svm2G0011990 Svm2G0020080 Svm3G0006160 Svm3G0006170 Svm3G0020840 Svm3G0032260 Svm3G0037490 Svm3G0045110 Svm4G0005350 Svm9G0031390 Svm5G0013170 Svm6G0009500 Svm4G0021830 Svm7G0006640 Svm4G0022940 Svm4G0026120 Svm6G0017260 Svm6G0032340 Svm7G0006480 Svm7G0009720 Svm7G0041590 Svm8G0007790 Svm8G0009170 Svm8G0029530 Svm8G0038350 Svm9G0030360 Svm9G0045400
N005M00011	0.6874	0.00000	Svm2G0054870 Svm1G0003750 Svm1G0028060 Svm1G0030100 Svm1G0033490 Svm1G0037020 Svm2G0002630 Svm2G0003600 Svm2G0013210 Svm2G0017610 Svm2G0025020 Svm2G0032850 Svm2G0046470 Svm2G0046920 Svm3G0027230 Svm3G0034610 Svm3G0036430 Svm4G0010330 Svm4G0016950 Svm4G0020720 Svm5G0001570 Svm7G0006180 Svm5G0020210 Svm5G0025770 Svm6G0023830 Svm7G0006470 Svm7G0020250 Svm7G0020350 Svm7G0026440 Svm7G0030180 Svm8G0024710 Svm8G0028470 Svm8G0030630 Svm9G0002050 Svm9G0005330 Svm9G0023340 Svm9G0033410 Svm9G0044750
N005M00012	0.6775	0.00000	Svm7G0004170 Svm7G0038210 Svm1G0009060 Svm1G0023620 Svm2G0003160 Svm2G0030750 Svm3G0037690 Svm2G0036890 Svm2G0041030 Svm2G0044340 Svm3G0025210 Svm3G0032940 Svm3G0035340 Svm3G0044890 Svm4G0010160 Svm4G0032030 Svm5G0006980 Svm5G0021310 Svm5G0023180 Svm6G0008800 Svm7G0012830 Svm7G0030110 Svm7G0038840 Svm8G0004920 Svm8G0015400 Svm8G0021160 Svm8G0022360 Svm8G0024100 Svm9G0002620 Svm9G0009780 Svm9G0022300 Svm9G0028440 Svm9G0029160 Svm9G0034240 Svm9G0062530
N005M00013	0.6924	0.00000	Svm1G0009580 Svm1G0014020 Svm7G0018360 Svm1G0031550 Svm1G0042040 Svm6G0023810 Svm8G0017820 Svm8G0016840 Svm3G0014410 Svm2G0015820 Svm3G0033670 Svm3G0039680 Svm3G0039770 Svm3G0044320 Svm3G0048430 Svm4G0002850 Svm4G0002860 Svm4G0002890 Svm4G0003700 Svm4G0004390 Svm4G0007760 Svm7G0024370 Svm4G0008400 Svm4G0017670 Svm4G0021060 Svm5G0028290 Svm6G0007350 Svm8G0023920 Svm6G0024370 Svm7G0000360 Svm7G0002020 Svm7G0017060 Svm7G0027760 Svm7G0021810 Svm8G0009280 Svm9G0041650 Svm8G0020300 Svm8G0036690 Svm9G0009220 Svm9G0048410
N005M00014	0.6805	0.00000	Svm3G0012240 Svm1G0004380 Svm1G0009120 Svm1G0013170 Svm2G0002890 Svm2G0030920 Svm2G0056790 Svm3G0003000 Svm3G0012200 Svm3G0014610 Svm3G0018460 Svm6G0028020 Svm3G0027700 Svm3G0023720 Svm3G0026550 Svm3G0034080 Svm3G0038360 Svm3G0041320 Svm3G0050100 Svm5G0012670 Svm5G0013730 Svm5G0027950 Svm5G0031480 Svm6G0022800 Svm7G0002860 Svm8G0014870 Svm8G0021690 Svm9G0001510 Svm9G0005150 Svm9G0027480 Svm9G0031460 Svm9G0037000 Svm9G0046050 Svm9G0068970
N005M00015	0.6213	9.41031e-09	Svm8G0010290 Svm8G0013720 Svm1G0023980 Svm1G0024130 Svm3G0030850 Svm6G0005910 Svm9G0035090 Svm4G0017800 Svm4G0024910 Svm4G0034790 Svm6G0015690 Svm5G0027600 Svm6G0007070 Svm6G0021670 Svm8G0010550 Svm6G0018120 Svm8G0024670 Svm8G0029420 Svm8G0031860 Svm8G0033490 Svm8G0036820 Svm9G0047680 Svm8G0012300 Svm8G0005960 Svm5G0040700
N005M00016	0.6159	0.00000	Svm5G0045240 Svm2G0018340 Svm2G0025040 Svm2G0034930 Svm2G0049490 Svm3G0035180 Svm3G0048290 Svm5G0011660 Svm5G0025830 Svm6G0013680 Svm6G0018290 Svm6G0031540 Svm9G0060940 Svm8G0021240 Svm4G0022710 Svm4G0024890 Svm6G0035310 Svm7G0041630 Svm8G0005280 Svm8G0018690 Svm9G0044470 Svm9G0049800 Svm9G0026250 Svm7G0036670 Svm4G0021400 Svm7G0041410 Svm9G0035780 Svm1G0042790
N005M00017	0.6919	0.00000	Svm9G0025110 Svm1G0018720 Svm1G0018830 Svm1G0021840 Svm3G0015130 Svm1G0023410 Svm1G0030990 Svm2G0013820 Svm2G0036260 Svm3G0023990 Svm3G0034210 Svm3G0035190 Svm4G0001110 Svm7G0032560 Svm4G0018150 Svm4G0027890 Svm4G0033940 Svm5G0012120 Svm5G0013100 Svm5G0022490 Svm5G0026100 Svm5G0049290 Svm6G0008310 Svm6G0015960 Svm6G0016920 Svm6G0021030 Svm6G0031590 Svm7G0019990 Svm8G0009670 Svm9G0012930 Svm9G0033010 Svm9G0063590 Svm8G0025460 Svm9G0014490 Svm9G0023900 Svm9G0042600 Svm9G0057100
N005M00018	0.5951	1.85795e-08	Svm9G0016410 Svm2G0007200 Svm2G0017650 Svm2G0021050 Svm5G0001720 Svm5G0018790 Svm5G0035350 Svm5G0043060 Svm6G0022310 Svm8G0020330 Svm8G0026570 Svm9G0016720 Svm8G0015140 Svm9G0047900 Svm1G0015420 Svm1G0040510 Svm9G0028080 Svm6G0002760 Svm2G0001210 Svm5G0017210 Svm3G0032620 Svm2G0019640 Svm5G0026720 Svm7G0013260 Svm7G0035970
N005M00019	0.6353	0.00000	Svm8G0014220 Svm1G0004900 Svm1G0008790 Svm1G0021560 Svm1G0031020 Svm2G0007830 Svm2G0011680 Svm9G0036560 Svm2G0033450 Svm7G0036380 Svm2G0027060 Svm1G0029760 Svm2G0051210 Svm3G0023530 Svm3G0038470 Svm3G0046690 Svm5G0014520 Svm8G0011790 Svm9G0066440 Svm8G0013810 Svm9G0063050 Svm9G0029150 Svm9G0037400 Svm7G0006890 Svm8G0022070 Svm3G0011640 Svm8G0035370 Svm6G0023850 Svm5G0039110 Svm7G0031290
