#Network	Quality Score	P-value	Gene List
N005M00020	0.6636	0.00000	Svm1G0027190 Svm2G0017180 Svm1G0002020 Svm2G0052680 Svm3G0025300 Svm3G0033740 Svm3G0039110 Svm4G0037850 Svm5G0002270 Svm5G0005940 Svm5G0011160 Svm5G0035260 Svm5G0039720 Svm5G0048230 Svm5G0052280 Svm5G0056350 Svm6G0008690 Svm6G0017470 Svm6G0017610 Svm6G0019160 Svm6G0030360 Svm7G0005370 Svm7G0030990 Svm8G0018190 Svm8G0021730 Svm9G0028250 Svm9G0030100 Svm9G0032950 Svm9G0033160 Svm9G0050790 Svm9G0028260
N005M00021	0.6802	0.00000	Svm1G0010490 Svm1G0019310 Svm1G0031000 Svm2G0000700 Svm2G0030590 Svm2G0048260 Svm3G0009230 Svm3G0038010 Svm3G0039980 Svm3G0043010 Svm5G0000060 Svm5G0001270 Svm5G0030910 Svm5G0033690 Svm6G0004210 Svm6G0027730 Svm6G0029040 Svm7G0003350 Svm7G0008340 Svm7G0021690 Svm7G0038860 Svm8G0008200 Svm8G0014170 Svm8G0024520 Svm9G0032650 Svm9G0055500 Svm9G0063310 Svm9G0065020 Svm2G0009810 Svm6G0013840
N005M00022	0.5578	2.75651e-09	Svm1G0046290 Svm5G0033260 Svm6G0007480 Svm6G0023610 Svm8G0028450 Svm2G0014100 Svm7G0008190 Svm8G0014740 Svm1G0013770 Svm8G0009390 Svm5G0012100 Svm5G0015770 Svm8G0017520 Svm9G0015150 Svm1G0015790 Svm4G0010130 Svm9G0020260 Svm9G0027010 Svm2G0006630 Svm4G0014250 Svm7G0025950 Svm8G0011780 Svm4G0000440 Svm4G0035770 Svm3G0024070 Svm8G0029330 Svm6G0031210 Svm7G0036290 Svm3G0006790 Svm7G0001720 Svm4G0018730 Svm8G0028310
N005M00023	0.6898	0.00000	Svm5G0029410 Svm1G0011320 Svm1G0042220 Svm2G0005730 Svm2G0011360 Svm2G0045750 Svm3G0043110 Svm2G0052980 Svm3G0001980 Svm3G0007100 Svm3G0013100 Svm3G0022020 Svm3G0032110 Svm3G0040210 Svm3G0050540 Svm4G0025800 Svm5G0004370 Svm5G0022720 Svm5G0033280 Svm5G0035170 Svm5G0043020 Svm5G0047120 Svm5G0050550 Svm6G0001870 Svm6G0006420 Svm6G0009490 Svm7G0006250 Svm7G0024810 Svm7G0040990 Svm7G0026970 Svm7G0028630 Svm9G0004260 Svm9G0007850
N005M00024	0.6223	2.57829e-07	Svm1G0026420 Svm1G0027520 Svm2G0057320 Svm4G0024220 Svm3G0012170 Svm3G0012220 Svm3G0031200 Svm3G0049770 Svm4G0029790 Svm5G0010440 Svm6G0005900 Svm7G0010600 Svm8G0018600 Svm8G0021720 Svm9G0007300 Svm9G0017920 Svm9G0029810 Svm9G0037450 Svm5G0025690 Svm2G0016410 Svm7G0017800
N005M00025	0.5350	3.80595e-09	Svm8G0017000 Svm3G0052860 Svm4G0010530 Svm7G0016760 Svm5G0035730 Svm4G0007870 Svm6G0025120 Svm7G0001240 Svm9G0011190 Svm2G0021180 Svm3G0040150 Svm8G0024170 Svm5G0043270 Svm9G0035640 Svm6G0014200 Svm5G0046150 Svm5G0057550 Svm1G0018960 Svm5G0005220 Svm8G0033170 Svm1G0019780 Svm8G0009130 Svm7G0030340 Svm9G0007020 Svm4G0018340 Svm2G0007390 Svm6G0020190 Svm1G0015690 Svm9G0048660 Svm1G0039520
N005M00026	0.6959	0.00000	Svm1G0006680 Svm1G0010480 Svm1G0015700 Svm1G0017660 Svm1G0018480 Svm1G0028980 Svm2G0003630 Svm2G0014470 Svm2G0014680 Svm2G0042300 Svm2G0048650 Svm3G0035120 Svm3G0036490 Svm4G0001690 Svm4G0014410 Svm4G0022280 Svm4G0037390 Svm5G0010600 Svm5G0020800 Svm5G0036890 Svm5G0054640 Svm5G0054910 Svm6G0006070 Svm6G0013570 Svm6G0015360 Svm6G0017250 Svm7G0000060 Svm7G0005390 Svm7G0015920 Svm7G0035110 Svm8G0003590 Svm8G0009120 Svm8G0009650 Svm8G0015200 Svm8G0026240 Svm9G0037900
N005M00027	0.5776	3.21661e-09	Svm2G0031910 Svm3G0002820 Svm9G0047920 Svm3G0022220 Svm5G0000020 Svm5G0052760 Svm6G0029000 Svm8G0007270 Svm8G0007470 Svm8G0016770 Svm9G0034090 Svm9G0066420 Svm5G0011270 Svm8G0031660 Svm4G0006020 Svm7G0038440 Svm2G0025550 Svm7G0008580 Svm1G0018760 Svm5G0044320 Svm8G0019880 Svm2G0014630 Svm5G0045520 Svm8G0003270 Svm6G0027930 Svm1G0008830 Svm5G0023570 Svm1G0010830 Svm5G0021790
N005M00028	0.6878	0.00000	Svm3G0049040 Svm1G0017270 Svm1G0017810 Svm1G0026220 Svm2G0012340 Svm2G0014960 Svm2G0042490 Svm2G0045080 Svm3G0008940 Svm3G0021800 Svm9G0065300 Svm6G0010860 Svm6G0013800 Svm3G0027300 Svm8G0038590 Svm8G0026870 Svm4G0003240 Svm4G0006480 Svm4G0007910 Svm6G0024100 Svm7G0011490 Svm7G0018000 Svm7G0022480 Svm7G0032060 Svm7G0038300 Svm9G0000250 Svm9G0043950 Svm9G0052120 Svm9G0059390 Svm9G0059580
N005M00029	0.6375	5.90827e-09	Svm1G0014690 Svm1G0007880 Svm1G0012040 Svm1G0019320 Svm7G0038590 Svm1G0049350 Svm2G0009760 Svm2G0027180 Svm3G0006740 Svm9G0016690 Svm3G0016340 Svm3G0038980 Svm5G0027690 Svm6G0016950 Svm6G0033870 Svm8G0022140 Svm8G0023210 Svm8G0027270 Svm9G0000990 Svm9G0032400 Svm9G0061440 Svm6G0012410 Svm7G0031970 Svm1G0021180 Svm5G0030610
N005M00030	0.6103	1.30514e-08	Svm3G0026300 Svm1G0030920 Svm1G0023990 Svm2G0013880 Svm3G0010560 Svm3G0047780 Svm4G0009230 Svm4G0010540 Svm4G0030110 Svm5G0033450 Svm5G0044890 Svm5G0052390 Svm5G0052400 Svm5G0052430 Svm7G0035960 Svm8G0034140 Svm9G0053080 Svm3G0018630 Svm9G0064630 Svm6G0035060 Svm1G0016080 Svm2G0003390 Svm7G0004210 Svm2G0027920 Svm7G0032490
N005M00031	0.6140	8.62628e-09	Svm7G0030510 Svm1G0002870 Svm1G0006670 Svm3G0020930 Svm5G0015700 Svm2G0022290 Svm4G0023180 Svm5G0012500 Svm5G0054900 Svm6G0011170 Svm6G0015490 Svm6G0024900 Svm8G0002990 Svm8G0005250 Svm8G0027380 Svm9G0047240 Svm9G0049090 Svm4G0033450 Svm3G0037050 Svm7G0032510 Svm1G0031620 Svm4G0014040 Svm3G0036040 Svm9G0035110 Svm6G0029720 Svm7G0006530
N005M00032	0.7048	0.00000	Svm5G0021890 Svm1G0004160 Svm1G0033320 Svm2G0004690 Svm2G0009060 Svm6G0009840 Svm2G0012910 Svm2G0018930 Svm2G0025420 Svm2G0026040 Svm2G0026670 Svm2G0031900 Svm2G0039620 Svm2G0053260 Svm3G0026750 Svm3G0042350 Svm3G0047670 Svm4G0015530 Svm4G0027830 Svm5G0007930 Svm5G0008620 Svm5G0013270 Svm5G0019130 Svm5G0025720 Svm5G0026040 Svm5G0038810 Svm5G0052740 Svm6G0005750 Svm6G0012200 Svm6G0023030 Svm6G0023300 Svm6G0024750 Svm7G0001270 Svm7G0003830 Svm7G0004010 Svm7G0011460 Svm7G0019300 Svm7G0032970 Svm8G0009760 Svm8G0011000 Svm8G0031450 Svm8G0033850 Svm9G0038220 Svm9G0056930
N005M00033	0.6134	0.00000	Svm3G0052840 Svm2G0039750 Svm2G0041800 Svm8G0025450 Svm2G0048280 Svm2G0055620 Svm3G0041420 Svm9G0034930 Svm1G0003660 Svm4G0039070 Svm4G0019340 Svm4G0029010 Svm4G0035610 Svm5G0052420 Svm7G0001460 Svm9G0018840 Svm8G0009790 Svm8G0005490 Svm7G0007380 Svm9G0014740 Svm3G0002990 Svm8G0005470 Svm5G0036630 Svm8G0028370 Svm1G0048330 Svm3G0022100 Svm8G0027310 Svm5G0033480 Svm5G0046040
N005M00034	0.6289	0.00000	Svm2G0035850 Svm1G0000980 Svm1G0012890 Svm1G0030090 Svm1G0031790 Svm7G0042590 Svm2G0038410 Svm3G0009780 Svm4G0030810 Svm5G0006460 Svm6G0019020 Svm7G0000820 Svm8G0025870 Svm9G0030840 Svm9G0031960 Svm9G0036270 Svm9G0050590 Svm9G0059540 Svm2G0054430 Svm6G0034770 Svm1G0000130 Svm8G0031280 Svm5G0010500 Svm5G0042960 Svm2G0039920 Svm9G0064550 Svm5G0052980 Svm6G0010950
N005M00035	0.5529	1.99361e-08	Svm4G0037240 Svm1G0024650 Svm1G0039790 Svm2G0030550 Svm4G0001170 Svm2G0057680 Svm5G0056540 Svm8G0033570 Svm3G0008990 Svm2G0017800 Svm9G0029820 Svm2G0016100 Svm3G0042250 Svm3G0054280 Svm5G0019120 Svm6G0017010 Svm1G0028370 Svm7G0019240 Svm7G0016710 Svm9G0037720 Svm4G0017330 Svm8G0002600 Svm1G0041160 Svm2G0020370 Svm4G0037580 Svm5G0038590 Svm8G0013010 Svm5G0013960
N005M00036	0.5396	1.21310e-08	Svm6G0034050 Svm2G0023880 Svm3G0001430 Svm5G0050460 Svm6G0016810 Svm5G0017620 Svm2G0025050 Svm4G0016770 Svm1G0012880 Svm5G0017520 Svm4G0022150 Svm2G0022930 Svm8G0029140 Svm5G0033520 Svm8G0009190 Svm3G0052270 Svm4G0026330 Svm6G0023820 Svm8G0000900 Svm3G0036080 Svm4G0003110 Svm9G0061270 Svm4G0035620 Svm5G0015970 Svm7G0042640 Svm8G0023880 Svm4G0034890 Svm3G0018350
N005M00037	0.5226	1.73167e-08	Svm8G0009090 Svm5G0052460 Svm2G0022240 Svm2G0034370 Svm9G0041180 Svm8G0004430 Svm9G0011120 Svm8G0028800 Svm3G0015940 Svm5G0029550 Svm5G0026550 Svm7G0020690 Svm2G0014430 Svm3G0001270 Svm7G0036320 Svm9G0015390 Svm4G0028020 Svm1G0011360 Svm6G0018100 Svm9G0036890 Svm6G0006590 Svm9G0009770 Svm6G0016270 Svm7G0002210 Svm5G0053140 Svm5G0002440 Svm5G0021780 Svm5G0020850 Svm4G0026800 Svm1G0011960
N005M00038	0.5286	8.96172e-09	Svm8G0000690 Svm8G0000580 Svm7G0038310 Svm4G0031220 Svm1G0016000 Svm7G0035390 Svm1G0028460 Svm3G0029110 Svm2G0045070 Svm8G0028850 Svm5G0035920 Svm5G0028960 Svm2G0010640 Svm2G0029110 Svm5G0018240 Svm2G0007310 Svm8G0025880 Svm2G0030520 Svm3G0052140 Svm7G0016500 Svm4G0003410 Svm1G0024830 Svm7G0040170 Svm9G0067950 Svm2G0006920 Svm9G0063340 Svm6G0007760 Svm7G0035640 Svm5G0002120 Svm3G0030660 Svm4G0039140 Svm7G0032520
N005M00039	0.6097	2.60963e-08	Svm2G0030450 Svm8G0008950 Svm1G0012200 Svm1G0013810 Svm1G0018250 Svm9G0025200 Svm4G0025870 Svm2G0002860 Svm3G0017510 Svm3G0050420 Svm5G0004160 Svm5G0019360 Svm5G0046380 Svm8G0002900 Svm8G0026090 Svm8G0036730 Svm9G0035120 Svm2G0035370 Svm9G0049640 Svm8G0008180 Svm7G0010670 Svm8G0015730 Svm1G0039810 Svm9G0044290 Svm9G0011140
N005M00040	0.6351	2.25665e-08	Svm1G0028620 Svm2G0006450 Svm7G0039320 Svm2G0021070 Svm3G0013670 Svm4G0014770 Svm5G0004120 Svm5G0007410 Svm5G0023660 Svm5G0016950 Svm7G0005150 Svm5G0017090 Svm4G0021760 Svm9G0030220 Svm5G0027470 Svm5G0057500 Svm6G0032840 Svm8G0001270 Svm8G0013710 Svm8G0030370 Svm8G0035420 Svm5G0028410 Svm2G0023090 Svm9G0046780
N005M00041	0.5539	6.13623e-07	Svm9G0028310 Svm2G0011570 Svm3G0000120 Svm3G0013020 Svm3G0035000 Svm5G0041690 Svm6G0006230 Svm6G0019450 Svm8G0037760 Svm9G0025790 Svm3G0019660 Svm5G0055200 Svm4G0003170 Svm6G0011540 Svm8G0028400 Svm9G0040990 Svm5G0012860 Svm2G0028590 Svm1G0025870 Svm6G0033060 Svm6G0011130 Svm9G0012010 Svm1G0004200
N005M00042	0.6888	0.00000	Svm8G0008220 Svm1G0000260 Svm1G0003620 Svm1G0004560 Svm1G0021170 Svm3G0012720 Svm1G0007050 Svm1G0024500 Svm9G0060370 Svm4G0009700 Svm1G0036010 Svm1G0040500 Svm1G0040860 Svm1G0047860 Svm2G0006000 Svm2G0019060 Svm2G0020640 Svm2G0041980 Svm3G0013640 Svm3G0051520 Svm3G0053120 Svm4G0010520 Svm4G0021880 Svm4G0024190 Svm4G0024270 Svm4G0036410 Svm5G0008180 Svm5G0008850 Svm5G0013030 Svm5G0016420 Svm5G0025570 Svm5G0034260 Svm6G0014680 Svm7G0005100 Svm8G0016250 Svm9G0010210 Svm9G0019970 Svm9G0034990 Svm9G0036340
N005M00043	0.5260	5.65305e-09	Svm5G0046020 Svm5G0038500 Svm4G0025600 Svm8G0020420 Svm1G0001800 Svm8G0029080 Svm3G0033360 Svm6G0029490 Svm9G0003450 Svm1G0024610 Svm5G0000520 Svm2G0056650 Svm8G0037000 Svm9G0062800 Svm1G0047430 Svm5G0022890 Svm1G0005690 Svm2G0044000 Svm4G0009360 Svm9G0028790 Svm7G0019680 Svm2G0031990 Svm2G0053530 Svm3G0014120 Svm2G0033380 Svm9G0056720 Svm6G0009190 Svm7G0016720 Svm1G0022290 Svm7G0038970 Svm2G0032080 Svm9G0027610
N005M00044	0.6025	1.15169e-08	Svm3G0018280 Svm3G0041970 Svm8G0031140 Svm4G0023570 Svm2G0001980 Svm6G0007800 Svm4G0012030 Svm6G0013080 Svm9G0045870 Svm4G0017830 Svm5G0019670 Svm5G0031300 Svm6G0002050 Svm6G0021530 Svm7G0043240 Svm8G0023350 Svm8G0029940 Svm9G0009250 Svm5G0051150 Svm7G0033710 Svm9G0039390 Svm2G0013060 Svm9G0068380 Svm9G0031770 Svm9G0047720 Svm9G0039760 Svm3G0001260
N005M00045	0.6591	2.45902e-09	Svm1G0017190 Svm1G0018210 Svm1G0022170 Svm1G0026540 Svm1G0044550 Svm2G0009960 Svm2G0015220 Svm2G0024760 Svm2G0032250 Svm2G0032410 Svm5G0016240 Svm5G0025670 Svm7G0004920 Svm7G0005820 Svm7G0022550 Svm8G0007800 Svm9G0016840 Svm9G0023410 Svm9G0026780 Svm9G0029610 Svm9G0032380 Svm9G0040560 Svm5G0005680 Svm1G0033540 Svm9G0007030 Svm7G0017070
N005M00046	0.6796	0.00000	Svm9G0001000 Svm1G0002590 Svm1G0047150 Svm2G0007790 Svm2G0015420 Svm2G0037720 Svm5G0015200 Svm4G0015810 Svm5G0007810 Svm5G0018440 Svm6G0007520 Svm6G0007550 Svm6G0007570 Svm6G0015790 Svm7G0004760 Svm7G0008800 Svm7G0019940 Svm7G0021780 Svm9G0025060 Svm9G0036240 Svm9G0048970 Svm9G0057900 Svm9G0060660 Svm9G0064140 Svm5G0001730 Svm5G0018830
N005M00047	0.5200	2.03515e-07	Svm8G0015850 Svm1G0029350 Svm2G0046340 Svm3G0020010 Svm7G0015330 Svm9G0041920 Svm6G0019210 Svm4G0038160 Svm8G0010870 Svm3G0023250 Svm2G0047680 Svm2G0018820 Svm4G0013990 Svm5G0049050 Svm2G0012650 Svm1G0003150 Svm9G0014440 Svm1G0034160 Svm7G0017650 Svm4G0012150 Svm7G0003290 Svm3G0019410 Svm1G0001700 Svm4G0017880 Svm5G0009730 Svm4G0038620 Svm7G0013380 Svm5G0001780
N005M00048	0.6792	0.00000	Svm3G0052770 Svm1G0018520 Svm1G0031740 Svm1G0036000 Svm1G0037640 Svm1G0043510 Svm2G0025810 Svm2G0026240 Svm3G0010250 Svm3G0024720 Svm3G0032480 Svm4G0000360 Svm4G0033540 Svm5G0005910 Svm7G0026580 Svm7G0016360 Svm4G0015330 Svm4G0018610 Svm5G0012200 Svm5G0023170 Svm9G0046290 Svm6G0014990 Svm6G0016050 Svm7G0004090 Svm7G0004730 Svm7G0042450 Svm9G0013830 Svm9G0036590
