#Network	Quality Score	P-value	Gene List
N010M00011	0.7156	0.00000	Svm1G0011320 Svm5G0039920 Svm9G0004620 Svm5G0029410 Svm1G0042220 Svm2G0005730 Svm2G0011360 Svm2G0045750 Svm2G0052980 Svm3G0001980 Svm3G0007100 Svm3G0013100 Svm3G0022020 Svm3G0032110 Svm3G0040210 Svm3G0043110 Svm3G0050540 Svm4G0025800 Svm5G0004370 Svm5G0022720 Svm5G0033280 Svm5G0035170 Svm5G0043020 Svm5G0047120 Svm5G0050550 Svm6G0001870 Svm6G0006420 Svm6G0009490 Svm7G0006250 Svm7G0024810 Svm7G0026970 Svm7G0028630 Svm7G0040990 Svm9G0004260 Svm9G0007850 Svm2G0034410 Svm3G0038750 Svm9G0030290 Svm4G0032300 Svm1G0000650 Svm2G0003930 Svm9G0022430 Svm4G0023040 Svm2G0038230 Svm7G0028610 Svm5G0006900 Svm5G0009480 Svm4G0014300 Svm5G0029850 Svm9G0019800 Svm9G0065860 Svm2G0037470 Svm1G0021050
N010M00012	0.6742	0.00000	Svm8G0038750 Svm7G0041670 Svm2G0012730 Svm5G0012140 Svm1G0027190 Svm3G0025300 Svm5G0005940 Svm5G0011160 Svm5G0052280 Svm6G0008690 Svm2G0017180 Svm1G0002020 Svm2G0052680 Svm3G0033740 Svm3G0039110 Svm4G0037850 Svm5G0002270 Svm5G0035260 Svm5G0039720 Svm5G0048230 Svm5G0056350 Svm6G0017470 Svm6G0017610 Svm6G0019160 Svm6G0030360 Svm7G0005370 Svm7G0030990 Svm8G0018190 Svm8G0021730 Svm9G0028250 Svm9G0030100 Svm9G0032950 Svm9G0033160 Svm9G0050790 Svm8G0001150 Svm4G0021720 Svm1G0010690 Svm6G0030570 Svm5G0028190 Svm3G0008530 Svm3G0007450 Svm3G0008920 Svm2G0009980 Svm5G0041730 Svm2G0028280 Svm9G0066070 Svm5G0015030 Svm4G0027240 Svm7G0020310 Svm9G0034430 Svm4G0014550 Svm9G0028260 Svm9G0015520 Svm2G0042900 Svm5G0020560
N010M00013	0.5843	0.00000	Svm8G0015850 Svm1G0029350 Svm2G0046340 Svm3G0020010 Svm9G0041920 Svm6G0019210 Svm4G0038160 Svm1G0003150 Svm9G0014440 Svm2G0047680 Svm5G0049050 Svm4G0013990 Svm7G0017650 Svm2G0018820 Svm7G0015330 Svm1G0001700 Svm1G0034160 Svm4G0012150 Svm3G0023250 Svm7G0003290 Svm8G0010870 Svm1G0032710 Svm1G0040440 Svm7G0003390 Svm4G0017880 Svm3G0012230 Svm5G0019340 Svm2G0013390 Svm2G0012650 Svm7G0006390 Svm4G0038620 Svm3G0019410 Svm3G0021680 Svm4G0032960 Svm5G0020220 Svm3G0024110 Svm3G0023180 Svm4G0007460 Svm5G0001780 Svm2G0003350 Svm5G0009730 Svm6G0031790 Svm7G0006360 Svm7G0014220 Svm7G0013380 Svm3G0024020 Svm6G0021230 Svm5G0007390 Svm3G0010320 Svm5G0027170
N010M00014	0.6963	0.00000	Svm7G0007430 Svm1G0017270 Svm3G0049040 Svm1G0017810 Svm1G0026220 Svm2G0012340 Svm2G0014960 Svm2G0042490 Svm2G0045080 Svm3G0008940 Svm3G0021800 Svm3G0027300 Svm4G0003240 Svm4G0006480 Svm4G0007910 Svm6G0010860 Svm6G0013800 Svm6G0024100 Svm7G0011490 Svm7G0018000 Svm7G0022480 Svm7G0032060 Svm7G0038300 Svm8G0026870 Svm8G0038590 Svm9G0000250 Svm9G0043950 Svm9G0052120 Svm9G0059390 Svm9G0059580 Svm9G0065300 Svm3G0006880 Svm2G0031970 Svm6G0016510 Svm4G0023100 Svm6G0013830 Svm8G0030810 Svm6G0034250 Svm1G0018670 Svm3G0005630 Svm9G0000260 Svm6G0028780 Svm5G0001820 Svm8G0014090 Svm6G0013770 Svm2G0035800 Svm5G0010580 Svm3G0007730 Svm2G0011030 Svm4G0035600 Svm7G0028300 Svm9G0014410
N010M00015	0.6073	0.00000	Svm3G0017180 Svm2G0007200 Svm9G0016410 Svm2G0017650 Svm2G0021050 Svm5G0001720 Svm5G0018790 Svm5G0035350 Svm5G0043060 Svm6G0022310 Svm8G0020330 Svm8G0026570 Svm9G0016720 Svm9G0047900 Svm1G0015420 Svm1G0040510 Svm9G0028080 Svm6G0002760 Svm2G0001210 Svm8G0015140 Svm5G0017210 Svm3G0032620 Svm9G0029830 Svm2G0008580 Svm7G0013260 Svm6G0001480 Svm6G0026190 Svm6G0017290 Svm2G0019640 Svm2G0020210 Svm7G0035970 Svm8G0006650 Svm1G0039960 Svm5G0026720 Svm6G0000020 Svm9G0040870 Svm8G0020490 Svm4G0001720 Svm2G0011720 Svm4G0038910 Svm6G0013140 Svm9G0033100 Svm1G0004820 Svm2G0053880 Svm4G0018170 Svm6G0005380 Svm6G0022420 Svm5G0031360 Svm8G0034360 Svm7G0032130 Svm4G0029370 Svm9G0031830
N010M00016	0.6560	0.00000	Svm1G0014690 Svm1G0007880 Svm1G0012040 Svm5G0030610 Svm6G0012410 Svm1G0014380 Svm1G0022420 Svm2G0002740 Svm1G0019330 Svm1G0019320 Svm1G0049350 Svm2G0009760 Svm2G0027180 Svm3G0006740 Svm3G0016340 Svm3G0038980 Svm5G0027690 Svm6G0016950 Svm7G0038590 Svm6G0033870 Svm8G0022140 Svm8G0023210 Svm8G0027270 Svm9G0000990 Svm9G0016690 Svm9G0032400 Svm9G0061440 Svm8G0007320 Svm3G0002300 Svm9G0063420 Svm4G0034230 Svm5G0021410 Svm7G0031970 Svm1G0021180 Svm8G0018100 Svm8G0024260 Svm4G0003360 Svm4G0024930 Svm5G0020690 Svm9G0047150 Svm3G0009800 Svm1G0001450 Svm4G0025760 Svm7G0026250 Svm2G0020250 Svm6G0000050 Svm7G0012250 Svm1G0015850 Svm2G0005970 Svm2G0044560 Svm2G0003730 Svm4G0026000 Svm2G0014490
N010M00017	0.7298	0.00000	Svm2G0054870 Svm1G0003750 Svm1G0028060 Svm1G0030100 Svm1G0033490 Svm1G0037020 Svm2G0002630 Svm2G0003600 Svm2G0013210 Svm2G0017610 Svm2G0025020 Svm2G0032850 Svm2G0046470 Svm2G0046920 Svm3G0027230 Svm3G0034610 Svm3G0036430 Svm4G0010330 Svm4G0016950 Svm4G0020720 Svm5G0001570 Svm5G0020210 Svm5G0025770 Svm6G0023830 Svm7G0006180 Svm7G0006470 Svm7G0020250 Svm7G0020350 Svm7G0026440 Svm7G0030180 Svm8G0024710 Svm8G0028470 Svm8G0030630 Svm9G0002050 Svm9G0005330 Svm9G0023340 Svm9G0033410 Svm9G0044750 Svm5G0019390 Svm9G0065240 Svm6G0011250 Svm6G0015000 Svm8G0009780 Svm9G0052450 Svm6G0001260 Svm7G0021920 Svm9G0023580 Svm1G0016770 Svm2G0045540 Svm1G0021810 Svm9G0015160 Svm9G0067160 Svm2G0021620 Svm8G0015020 Svm5G0001070 Svm8G0024790 Svm4G0016740
N010M00018	0.5905	0.00000	Svm8G0017000 Svm3G0052860 Svm4G0010530 Svm7G0016760 Svm5G0035730 Svm4G0007870 Svm6G0025120 Svm7G0001240 Svm9G0011190 Svm8G0025140 Svm2G0021180 Svm3G0040410 Svm3G0040150 Svm8G0024170 Svm5G0043270 Svm9G0035640 Svm6G0014200 Svm5G0057550 Svm1G0018960 Svm8G0033170 Svm5G0046150 Svm5G0005220 Svm1G0019780 Svm4G0018340 Svm8G0009130 Svm5G0048940 Svm7G0030340 Svm9G0007020 Svm3G0024710 Svm1G0015690 Svm4G0007820 Svm2G0007390 Svm1G0039520 Svm6G0020190 Svm9G0048660 Svm2G0024360 Svm5G0056420 Svm1G0001060 Svm3G0005650 Svm7G0014610 Svm6G0015270 Svm8G0002490 Svm3G0010850 Svm1G0031590 Svm4G0011030 Svm7G0015520 Svm3G0050720 Svm3G0011700 Svm7G0024280 Svm3G0044410 Svm6G0001860 Svm8G0031580 Svm6G0020070 Svm8G0028340 Svm4G0021640 Svm4G0026200
N010M00019	0.7771	0.00000	Svm1G0009200 Svm1G0017570 Svm1G0030570 Svm7G0029530 Svm1G0042830 Svm1G0043840 Svm2G0023330 Svm2G0033610 Svm7G0040510 Svm2G0044510 Svm2G0044700 Svm2G0052910 Svm3G0000680 Svm3G0015510 Svm3G0021750 Svm3G0029510 Svm3G0039410 Svm3G0041900 Svm3G0045260 Svm3G0047710 Svm3G0052460 Svm3G0053870 Svm4G0000850 Svm4G0002810 Svm4G0008330 Svm4G0016920 Svm4G0029880 Svm5G0000900 Svm5G0007510 Svm5G0012810 Svm5G0014260 Svm5G0021920 Svm5G0031000 Svm6G0001680 Svm6G0003130 Svm6G0004750 Svm6G0010540 Svm6G0015890 Svm6G0023600 Svm6G0030650 Svm6G0034010 Svm7G0012630 Svm7G0015020 Svm7G0019030 Svm7G0040930 Svm8G0009710 Svm8G0010380 Svm8G0017540 Svm8G0020890 Svm8G0023000 Svm8G0023980 Svm8G0026430 Svm8G0029240 Svm8G0030870 Svm8G0034070 Svm8G0036830 Svm9G0007050 Svm9G0016450 Svm9G0024360 Svm9G0028270 Svm9G0031680 Svm9G0033320 Svm9G0035350 Svm9G0042830 Svm9G0067770
N010M00020	0.6612	0.00000	Svm4G0023870 Svm8G0014220 Svm1G0004900 Svm1G0008790 Svm1G0021560 Svm1G0031020 Svm2G0007830 Svm2G0011680 Svm2G0027060 Svm2G0051210 Svm3G0023530 Svm3G0038470 Svm3G0046690 Svm5G0014520 Svm7G0036380 Svm8G0011790 Svm8G0013810 Svm8G0035370 Svm9G0036560 Svm9G0037400 Svm9G0063050 Svm4G0004120 Svm2G0008810 Svm3G0011640 Svm7G0035250 Svm2G0002960 Svm2G0048550 Svm7G0031290 Svm2G0033450 Svm6G0034540 Svm4G0013150 Svm3G0044900 Svm7G0012290 Svm7G0035770 Svm1G0017320 Svm5G0039110 Svm9G0066440 Svm1G0008150 Svm7G0006890 Svm6G0023850 Svm1G0029760 Svm8G0022070 Svm9G0029150 Svm4G0023390 Svm4G0013340 Svm8G0035380 Svm9G0019780 Svm2G0004490 Svm7G0015730 Svm7G0035320 Svm3G0021910 Svm7G0033550 Svm9G0045950 Svm1G0010390
